RevisionColumn,GenderID,NUTS,periods,Units,ValueColumn
"r_7","0","BG332","2006","perc","14.9"
"r_7","0","BG332","2007","perc","13.4"
"r_7","0","BG332","2008","perc","9.7"
"r_7","0","BG332","2009","perc","12.9"
"r_7","0","BG332","2010","perc","16.4"
"r_7","0","BG332","2011","perc","17.3"
"r_7","0","BG332","2012","perc","15.4"
"r_7","0","BG332","2013","perc","15.8"
"r_7","0","BG332","2014","perc","14.3"
"r_7","0","BG332","2015","perc","13.8"
"r_7","0","BG332","2016","perc","9.6"
"r_7","0","BG332","2017","perc","6.4"
"r_7","0","BG334","2003","perc","30.1"
"r_7","0","BG334","2004","perc","23.9"
"r_7","0","BG334","2005","perc","7.9"
"r_7","0","BG334","2006","perc","12"
"r_7","0","BG334","2007","perc","12.1"
"r_7","0","BG334","2008","perc","10.8"
"r_7","0","BG334","2009","perc","9.9"
"r_7","0","BG334","2010","perc","11.9"
"r_7","0","BG334","2011","perc","12.4"
"r_7","0","BG334","2012","perc","15.6"
"r_7","0","BG334","2013","perc","15.7"
"r_7","0","BG334","2014","perc","11.4"
"r_7","0","BG334","2015","perc","(8.8)"
"r_7","0","BG334","2016","perc","9.3"
"r_7","0","BG334","2017","perc","12.4"
"r_7","0","BG333","2003","perc","21.6"
"r_7","0","BG333","2004","perc","20"
"r_7","0","BG333","2005","perc","16.5"
"r_7","0","BG333","2006","perc","14.9"
"r_7","0","BG333","2007","perc","17.4"
"r_7","0","BG333","2008","perc","16.7"
"r_7","0","BG333","2009","perc","23.1"
"r_7","0","BG333","2010","perc","28.8"
"r_7","0","BG333","2011","perc","26.8"
"r_7","0","BG333","2012","perc","26.6"
"r_7","0","BG333","2013","perc","26"
"r_7","0","BG333","2014","perc","21.1"
"r_7","0","BG333","2015","perc","19.7"
"r_7","0","BG333","2016","perc","17.2"
"r_7","0","BG333","2017","perc","15.9"
"r_7","0","BG34","2003","perc","14.7"
"r_7","0","BG34","2004","perc","11.9"
"r_7","0","BG34","2005","perc","8.3"
"r_7","0","BG34","2006","perc","8.1"
"r_7","0","BG34","2007","perc","6.5"
"r_7","0","BG34","2008","perc","5.8"
"r_7","0","BG34","2009","perc","6.6"
"r_7","0","BG34","2010","perc","10.5"
"r_7","0","BG34","2011","perc","11.5"
"r_7","0","BG34","2012","perc","11.9"
"r_7","0","BG34","2013","perc","13"
"r_7","0","BG34","2014","perc","11.9"
"r_7","0","BG34","2015","perc","10.4"
"r_7","0","BG34","2016","perc","7.9"
"r_7","0","BG34","2017","perc","7"
"r_7","0","BG341","2003","perc","14.5"
"r_7","0","BG341","2004","perc","11.5"
"r_7","0","BG341","2005","perc","6.2"
"r_7","0","BG341","2006","perc","6"
"r_7","0","BG341","2007","perc","4.1"
"r_7","0","BG341","2008","perc","3.4"
"r_7","0","BG341","2009","perc","3.9"
"r_7","0","BG341","2010","perc","9.6"
"r_7","0","BG341","2011","perc","12.6"
"r_7","0","BG341","2012","perc","11.5"
"r_7","0","BG341","2013","perc","12.7"
"r_7","0","BG341","2014","perc","11"
"r_7","0","BG341","2015","perc","10.3"
"r_7","0","BG341","2016","perc","8.9"
"r_7","0","BG341","2017","perc","8.6"
"r_7","0","BG342","2003","perc","24"
"r_7","0","BG342","2004","perc","20"
