RevisionColumn,periods,Units,Indicators,ValueColumn
"r_3","2016","1000BGN","3.1.2.5.1.2","1015033"
"r_3","2017","1000BGN","3.1.2.5.1.2","1563366"
"r_3","2018","1000BGN","3.1.2.5.1.2","1569855"
"r_3","2019","1000BGN","3.1.2.5.1.2","1314038"
"r_3","2020","1000BGN","3.1.2.5.1.2","2168869"
"r_4","2021","1000BGN","3.1.2.5.1.1.1","1579391"
"r_4","2021","1000BGN","3.1.2.5.1.1.1.1","1313476"
"r_4","2021","1000BGN","3.1.2.5.1.1.1.2","265915"
"r_4","2021","1000BGN","3.1.2.5.1.1.2","296541"
"r_4","2021","1000BGN","3.1.2.5.1.1.3","#"
"r_4","2021","1000BGN","3.1.2.5.1.1.4","296541"
"r_4","2021","1000BGN","3.1.2.5.1.1.5","12207"
"r_4","2021","1000BGN","3.1.2.5.1.1.6","284307"
"r_4","2021","1000BGN","3.1.2.5.1.1","1875905"
"r_4","2021","1000BGN","3.1.2.5.1.2.1","1857916"
"r_4","2021","1000BGN","3.1.2.5.1.2.1.1","1623033"
"r_4","2021","1000BGN","3.1.2.5.1.2.1.2","234883"
"r_4","2021","1000BGN","3.1.2.5.1.2.2","18016"
"r_4","2021","1000BGN","3.1.2.5.1.2.3","#"
"r_4","2021","1000BGN","3.1.2.5.1.2.4","18016"
"r_4","2021","1000BGN","3.1.2.5.1.2.5","17989"
"r_4","2021","1000BGN","3.1.2.5.1.2","1875905"
"r_5","2022","1000BGN","3.1.2.5.1.1.1","2117291"
"r_5","2022","1000BGN","3.1.2.5.1.1.1.1","1909550"
"r_5","2022","1000BGN","3.1.2.5.1.1.1.2","207741"
"r_5","2022","1000BGN","3.1.2.5.1.1.2","244455"
"r_5","2022","1000BGN","3.1.2.5.1.1.3","#"
"r_5","2022","1000BGN","3.1.2.5.1.1.4","244455"
"r_5","2022","1000BGN","3.1.2.5.1.1.5","6006"
"r_5","2022","1000BGN","3.1.2.5.1.1.6","238249"
"r_5","2022","1000BGN","3.1.2.5.1.1","2361546"
"r_5","2022","1000BGN","3.1.2.5.1.2.1","2179072"
"r_5","2022","1000BGN","3.1.2.5.1.2.1.1","1894026"
"r_5","2022","1000BGN","3.1.2.5.1.2.1.2","285046"
"r_5","2022","1000BGN","3.1.2.5.1.2.2","182674"
"r_5","2022","1000BGN","3.1.2.5.1.2.3","#"
"r_5","2022","1000BGN","3.1.2.5.1.2.4","182674"
"r_5","2022","1000BGN","3.1.2.5.1.2.5","182474"
"r_5","2022","1000BGN","3.1.2.5.1.2","2361546"
"r_6","2023","1000BGN","3.1.2.5.1.1.1","1570645"
