RevisionColumn,periods,Indicators,Units,Countries_TOUR,ValueColumn
"r_4","2015XI","3.5.2.1.2","num","HR","594"
"r_4","2015XI","3.5.2.2.2","num","CZ","1706"
"r_4","2015XI","3.5.2.1.2","num","CZ","857"
"r_4","2015XI","3.5.2.2.2","num","SE","1161"
"r_4","2015XI","3.5.2.1.2","num","SE","630"
"r_4","2015XI","3.5.2.2.2","num","OTH_EUR","38644"
"r_4","2015XI","3.5.2.1.2","num","OTH_EUR","19340"
"r_4","2015XI","3.5.2.2.2","num","MK","9625"
"r_4","2015XI","3.5.2.1.2","num","MK","4420"
"r_4","2015XI","3.5.2.2.2","num","NO","494"
"r_4","2015XI","3.5.2.1.2","num","NO","248"
"r_4","2015XI","3.5.2.2.2","num","RU","7501"
"r_4","2015XI","3.5.2.1.2","num","RU","2603"
"r_4","2015XI","3.5.2.2.2","num","RS","3430"
"r_4","2015XI","3.5.2.1.2","num","RS","1958"
"r_4","2015XI","3.5.2.2.2","num","TR","12036"
"r_4","2015XI","3.5.2.1.2","num","TR","7385"
"r_4","2015XI","3.5.2.2.2","num","UA","4332"
"r_4","2015XI","3.5.2.1.2","num","UA","2100"
"r_4","2015XI","3.5.2.2.2","num","CH","1226"
"r_4","2015XI","3.5.2.1.2","num","CH","626"
"r_4","2015XI","3.5.2.2.2","num","OTH","15435"
"r_4","2015XI","3.5.2.1.2","num","OTH","7497"
"r_4","2015XI","3.5.2.2.2","num","IL","8034"
"r_4","2015XI","3.5.2.1.2","num","IL","3536"
"r_4","2015XI","3.5.2.2.2","num","US","5903"
"r_4","2015XI","3.5.2.1.2","num","US","2977"
"r_4","2015XI","3.5.2.2.2","num","JP","1498"
"r_4","2015XI","3.5.2.1.2","num","JP","984"
"r_4","2015XI","3.5.2.2.2","num","RoW","23267"
"r_4","2015XI","3.5.2.1.2","num","RoW","10524"
"r_5","2015XII","3.5.2.2.2","num","total","206518"
"r_5","2015XII","3.5.2.1.2","num","total","90298"
"r_5","2015XII","3.5.2.2.2","num","EU","126283"
"r_5","2015XII","3.5.2.1.2","num","EU","53276"
"r_5","2015XII","3.5.2.2.2","num","AT","1811"
"r_5","2015XII","3.5.2.1.2","num","AT","1227"
"r_5","2015XII","3.5.2.2.2","num","BE","1566"
"r_5","2015XII","3.5.2.1.2","num","BE","815"
"r_5","2015XII","3.5.2.2.2","num","DE","8371"
"r_5","2015XII","3.5.2.1.2","num","DE","4178"
"r_5","2015XII","3.5.2.2.2","num","GR","43454"
"r_5","2015XII","3.5.2.1.2","num","GR","19193"
"r_5","2015XII","3.5.2.2.2","num","DK","491"
"r_5","2015XII","3.5.2.1.2","num","DK","233"
"r_5","2015XII","3.5.2.2.2","num","EE","221"
"r_5","2015XII","3.5.2.1.2","num","EE","83"
"r_5","2015XII","3.5.2.2.2","num","IE","560"
"r_5","2015XII","3.5.2.1.2","num","IE","271"
"r_5","2015XII","3.5.2.2.2","num","ES","2465"
"r_5","2015XII","3.5.2.1.2","num","ES","1056"
"r_5","2015XII","3.5.2.2.2","num","IT","9931"
"r_5","2015XII","3.5.2.1.2","num","IT","4677"
"r_5","2015XII","3.5.2.2.2","num","CY","972"
"r_5","2015XII","3.5.2.1.2","num","CY","384"
"r_5","2015XII","3.5.2.2.2","num","LV","363"
"r_5","2015XII","3.5.2.1.2","num","LV","102"
"r_5","2015XII","3.5.2.2.2","num","LT","425"
"r_5","2015XII","3.5.2.1.2","num","LT","171"
"r_5","2015XII","3.5.2.2.2","num","LU","115"
"r_5","2015XII","3.5.2.1.2","num","LU","43"
"r_5","2015XII","3.5.2.2.2","num","MT","767"
"r_5","2015XII","3.5.2.1.2","num","MT","257"
"r_5","2015XII","3.5.2.2.2","num","NL","2510"
"r_5","2015XII","3.5.2.1.2","num","NL","1047"
"r_5","2015XII","3.5.2.2.2","num","GB","19894"
"r_5","2015XII","3.5.2.1.2","num","GB","5544"
"r_5","2015XII","3.5.2.2.2","num","PL","2339"
"r_5","2015XII","3.5.2.1.2","num","PL","870"
"r_5","2015XII","3.5.2.2.2","num","PT","721"
"r_5","2015XII","3.5.2.1.2","num","PT","222"
"r_5","2015XII","3.5.2.2.2","num","RO","19829"
"r_5","2015XII","3.5.2.1.2","num","RO","8382"
"r_5","2015XII","3.5.2.2.2","num","SK","502"
"r_5","2015XII","3.5.2.1.2","num","SK","264"
"r_5","2015XII","3.5.2.2.2","num","SI","1156"
"r_5","2015XII","3.5.2.1.2","num","SI","421"
"r_5","2015XII","3.5.2.2.2","num","HU","991"
"r_5","2015XII","3.5.2.1.2","num","HU","481"
"r_5","2015XII","3.5.2.2.2","num","FI","399"
"r_5","2015XII","3.5.2.1.2","num","FI","199"
"r_5","2015XII","3.5.2.2.2","num","FR","3503"
"r_5","2015XII","3.5.2.1.2","num","FR","1692"
"r_5","2015XII","3.5.2.2.2","num","HR","1029"
"r_5","2015XII","3.5.2.1.2","num","HR","503"
"r_5","2015XII","3.5.2.2.2","num","CZ","1096"
"r_5","2015XII","3.5.2.1.2","num","CZ","548"
"r_5","2015XII","3.5.2.2.2","num","SE","802"
"r_5","2015XII","3.5.2.1.2","num","SE","413"
"r_5","2015XII","3.5.2.2.2","num","OTH_EUR","43383"
"r_5","2015XII","3.5.2.1.2","num","OTH_EUR","21496"
"r_5","2015XII","3.5.2.2.2","num","MK","11341"
"r_5","2015XII","3.5.2.1.2","num","MK","5248"
"r_5","2015XII","3.5.2.2.2","num","NO","485"
"r_5","2015XII","3.5.2.1.2","num","NO","198"
"r_5","2015XII","3.5.2.2.2","num","RU","8192"
"r_5","2015XII","3.5.2.1.2","num","RU","2853"
"r_5","2015XII","3.5.2.2.2","num","RS","4269"
"r_5","2015XII","3.5.2.1.2","num","RS","2200"
"r_5","2015XII","3.5.2.2.2","num","TR","14046"
"r_5","2015XII","3.5.2.1.2","num","TR","8723"
"r_5","2015XII","3.5.2.2.2","num","UA","3741"
"r_5","2015XII","3.5.2.1.2","num","UA","1732"
"r_5","2015XII","3.5.2.2.2","num","CH","1309"
"r_5","2015XII","3.5.2.1.2","num","CH","542"
"r_5","2015XII","3.5.2.2.2","num","OTH","15832"
"r_5","2015XII","3.5.2.1.2","num","OTH","6699"
"r_5","2015XII","3.5.2.2.2","num","IL","10019"
"r_5","2015XII","3.5.2.1.2","num","IL","3933"
"r_5","2015XII","3.5.2.2.2","num","US","5159"
"r_5","2015XII","3.5.2.1.2","num","US","2445"
"r_5","2015XII","3.5.2.2.2","num","JP","654"
"r_5","2015XII","3.5.2.1.2","num","JP","321"
"r_5","2015XII","3.5.2.2.2","num","RoW","21020"
"r_5","2015XII","3.5.2.1.2","num","RoW","8827"
"r_6","2015","3.5.2.2.2","num","total","13352281"
"r_6","2015","3.5.2.1.2","num","total","2864371"
"r_6","2015","3.5.2.2.2","num","EU","8660299"
"r_6","2015","3.5.2.1.2","num","EU","1798524"
"r_6","2015","3.5.2.2.2","num","AT","136696"
"r_6","2015","3.5.2.1.2","num","AT","37884"
"r_6","2015","3.5.2.2.2","num","BE","210164"
"r_6","2015","3.5.2.1.2","num","BE","41475"
"r_6","2015","3.5.2.2.2","num","DE","2339836"
"r_6","2015","3.5.2.1.2","num","DE","367464"
"r_6","2015","3.5.2.2.2","num","GR","225201"
"r_6","2015","3.5.2.1.2","num","GR","111624"
"r_6","2015","3.5.2.2.2","num","DK","170985"
"r_6","2015","3.5.2.1.2","num","DK","29555"
"r_6","2015","3.5.2.2.2","num","EE","82967"
"r_6","2015","3.5.2.1.2","num","EE","13936"
"r_6","2015","3.5.2.2.2","num","IE","64418"
