RevisionColumn,periods,Units,EKATTE,Residence,ValueColumn
"r_1","2001","num","VID22","0","12"
"r_1","2001","num","VID22","1","8"
"r_1","2001","num","VID22","2","4"
"r_1","2002","num","VID22","0","6"
"r_1","2002","num","VID22","1","4"
"r_1","2002","num","VID22","2","2"
"r_1","2003","num","VID22","0","8"
"r_1","2003","num","VID22","1","5"
"r_1","2003","num","VID22","2","3"
"r_1","2004","num","VID22","0","7"
"r_1","2004","num","VID22","1","5"
"r_1","2004","num","VID22","2","2"
"r_1","2005","num","VID22","0","5"
"r_1","2005","num","VID22","1","5"
"r_1","2005","num","VID22","2","-"
"r_1","2006","num","VID22","0","7"
"r_1","2006","num","VID22","1","7"
"r_1","2006","num","VID22","2","-"
"r_1","2007","num","VID22","0","3"
"r_1","2007","num","VID22","1","3"
"r_1","2007","num","VID22","2","-"
"r_1","2008","num","VID22","0","12"
"r_1","2008","num","VID22","1","7"
"r_1","2008","num","VID22","2","5"
"r_1","2009","num","VID22","0","3"
"r_1","2009","num","VID22","1","3"
"r_1","2009","num","VID22","2","-"
"r_1","2010","num","VID22","0","10"
"r_1","2010","num","VID22","1","9"
"r_1","2010","num","VID22","2","1"
"r_1","2011","num","VID22","0","2"
"r_1","2011","num","VID22","1","2"
"r_1","2011","num","VID22","2","-"
"r_1","2012","num","VID22","0","3"
"r_1","2012","num","VID22","1","3"
"r_1","2012","num","VID22","2","-"
"r_1","2013","num","VID22","0","2"
"r_1","2013","num","VID22","1","1"
"r_1","2013","num","VID22","2","1"
"r_1","2014","num","VID22","0","4"
"r_1","2014","num","VID22","1","4"
"r_1","2014","num","VID22","2","-"
"r_1","2000","num","VID25","0","3"
"r_1","2000","num","VID25","1","-"
"r_1","2000","num","VID25","2","3"
"r_1","2001","num","VID25","0","3"
"r_1","2001","num","VID25","1","-"
"r_1","2001","num","VID25","2","3"
"r_1","2002","num","VID25","0","1"
"r_1","2002","num","VID25","1","-"
"r_1","2002","num","VID25","2","1"
"r_1","2003","num","VID25","0","1"
"r_1","2003","num","VID25","1","-"
"r_1","2003","num","VID25","2","1"
"r_1","2004","num","VID25","0","1"
"r_1","2004","num","VID25","1","-"
"r_1","2004","num","VID25","2","1"
"r_1","2005","num","VID25","0","2"
"r_1","2005","num","VID25","1","-"
"r_1","2005","num","VID25","2","2"
"r_1","2006","num","VID25","0","1"
"r_1","2006","num","VID25","1","-"
"r_1","2006","num","VID25","2","1"
"r_1","2007","num","VID25","0","3"
"r_1","2007","num","VID25","1","-"
"r_1","2007","num","VID25","2","3"
"r_1","2008","num","VID25","0","1"
"r_1","2008","num","VID25","1","-"
"r_1","2008","num","VID25","2","1"
"r_1","2009","num","VID25","0","3"
"r_1","2009","num","VID25","1","-"
"r_1","2009","num","VID25","2","3"
"r_1","2010","num","VID25","0","1"
"r_1","2010","num","VID25","1","-"
"r_1","2010","num","VID25","2","1"
"r_1","2011","num","VID25","0","2"
"r_1","2011","num","VID25","1","-"
"r_1","2011","num","VID25","2","2"
"r_1","2012","num","VID25","0","3"
"r_1","2012","num","VID25","1","-"
"r_1","2012","num","VID25","2","3"
"r_1","2013","num","VID25","0","1"
"r_1","2013","num","VID25","1","-"
"r_1","2013","num","VID25","2","1"
"r_1","2014","num","VID25","0","-"
"r_1","2014","num","VID25","1","-"
"r_1","2014","num","VID25","2","-"
"r_1","2000","num","VID30","0","10"
"r_1","2000","num","VID30","1","-"
"r_1","2000","num","VID30","2","10"
"r_1","2001","num","VID30","0","10"
"r_1","2001","num","VID30","1","-"
"r_1","2001","num","VID30","2","10"
"r_1","2002","num","VID30","0","5"
"r_1","2002","num","VID30","1","-"
"r_1","2002","num","VID30","2","5"
"r_1","2003","num","VID30","0","6"
"r_1","2003","num","VID30","1","-"
"r_1","2003","num","VID30","2","6"
"r_1","2004","num","VID30","0","7"
"r_1","2004","num","VID30","1","-"
"r_1","2004","num","VID30","2","7"
"r_1","2005","num","VID30","0","2"
"r_1","2005","num","VID30","1","-"
"r_1","2005","num","VID30","2","2"
"r_1","2006","num","VID30","0","3"
"r_1","2006","num","VID30","1","-"
"r_1","2006","num","VID30","2","3"
"r_1","2007","num","VID30","0","5"
"r_1","2007","num","VID30","1","-"
"r_1","2007","num","VID30","2","5"
"r_1","2008","num","VID30","0","2"
"r_1","2008","num","VID30","1","-"
"r_1","2008","num","VID30","2","2"
"r_1","2009","num","VID30","0","6"
"r_1","2009","num","VID30","1","-"
"r_1","2009","num","VID30","2","6"
"r_1","2010","num","VID30","0","2"
"r_1","2010","num","VID30","1","-"
"r_1","2010","num","VID30","2","2"
"r_1","2011","num","VID30","0","6"
"r_1","2011","num","VID30","1","-"
"r_1","2011","num","VID30","2","6"
"r_1","2012","num","VID30","0","4"
"r_1","2012","num","VID30","1","-"
"r_1","2012","num","VID30","2","4"
"r_1","2013","num","VID30","0","4"
"r_1","2013","num","VID30","1","-"
"r_1","2013","num","VID30","2","4"
"r_1","2014","num","VID30","0","3"
"r_1","2014","num","VID30","1","-"
"r_1","2014","num","VID30","2","3"
"r_1","2000","num","VID33","0","2"
"r_1","2000","num","VID33","1","-"
"r_1","2000","num","VID33","2","2"
"r_1","2001","num","VID33","0","6"
"r_1","2001","num","VID33","1","-"
"r_1","2001","num","VID33","2","6"
"r_1","2002","num","VID33","0","17"
"r_1","2002","num","VID33","1","-"
"r_1","2002","num","VID33","2","17"
"r_1","2003","num","VID33","0","4"
"r_1","2003","num","VID33","1","-"
"r_1","2003","num","VID33","2","4"
"r_1","2004","num","VID33","0","9"
"r_1","2004","num","VID33","1","-"
"r_1","2004","num","VID33","2","9"
"r_1","2005","num","VID33","0","5"
"r_1","2005","num","VID33","1","-"
"r_1","2005","num","VID33","2","5"
"r_1","2006","num","VID33","0","10"
"r_1","2006","num","VID33","1","-"
"r_1","2006","num","VID33","2","10"
"r_1","2007","num","VID33","0","9"
"r_1","2007","num","VID33","1","-"
"r_1","2007","num","VID33","2","9"
"r_1","2008","num","VID33","0","4"
