RevisionColumn,periods,Units,GenderID,NUTS,ValueColumn
"r_2","2006Q4","perc","1","BG32","13.2"
"r_2","2006Q4","perc","2","BG32","14.5"
"r_2","2006Q4","perc","0","BG33","10.3"
"r_2","2006Q4","perc","1","BG33","9.5"
"r_2","2006Q4","perc","2","BG33","11.3"
"r_2","2006Q4","perc","0","BG34","8.2"
"r_2","2006Q4","perc","1","BG34","8"
"r_2","2006Q4","perc","2","BG34","8.5"
"r_2","2006Q4","perc","0","BG41","5.3"
"r_2","2006Q4","perc","1","BG41","5.2"
"r_2","2006Q4","perc","2","BG41","5.4"
"r_2","2006Q4","perc","0","BG42","7.3"
"r_2","2006Q4","perc","1","BG42","7.3"
"r_2","2006Q4","perc","2","BG42","7.4"
"r_2","2007Q1","perc","0","BG","8"
"r_2","2007Q1","perc","1","BG","7.7"
"r_2","2007Q1","perc","2","BG","8.4"
"r_2","2007Q1","perc","0","BG31","9.7"
"r_2","2007Q1","perc","1","BG31","10.5"
"r_2","2007Q1","perc","2","BG31","8.7"
"r_2","2007Q1","perc","0","BG32","12.7"
"r_2","2007Q1","perc","1","BG32","13.5"
"r_2","2007Q1","perc","2","BG32","11.8"
"r_2","2007Q1","perc","0","BG33","12.9"
"r_2","2007Q1","perc","1","BG33","10.9"
"r_2","2007Q1","perc","2","BG33","15.4"
"r_2","2007Q1","perc","0","BG34","7.4"
"r_2","2007Q1","perc","1","BG34","6.9"
"r_2","2007Q1","perc","2","BG34","7.9"
"r_2","2007Q1","perc","0","BG41","4.2"
"r_2","2007Q1","perc","1","BG41","3.5"
"r_2","2007Q1","perc","2","BG41","4.9"
"r_2","2007Q1","perc","0","BG42","7.3"
"r_2","2007Q1","perc","1","BG42","7"
"r_2","2007Q1","perc","2","BG42","7.7"
"r_2","2007Q2","perc","0","BG","6.8"
"r_2","2007Q2","perc","1","BG","6.8"
"r_2","2007Q2","perc","2","BG","6.9"
"r_2","2007Q2","perc","0","BG31","8.3"
"r_2","2007Q2","perc","1","BG31","8.7"
"r_2","2007Q2","perc","2","BG31","7.7"
"r_2","2007Q2","perc","0","BG32","10"
"r_2","2007Q2","perc","1","BG32","10.8"
"r_2","2007Q2","perc","2","BG32","9.1"
"r_2","2007Q2","perc","0","BG33","11.7"
"r_2","2007Q2","perc","1","BG33","10.4"
"r_2","2007Q2","perc","2","BG33","13.4"
"r_2","2007Q2","perc","0","BG34","6"
"r_2","2007Q2","perc","1","BG34","6.2"
"r_2","2007Q2","perc","2","BG34","5.8"
"r_2","2007Q2","perc","0","BG41","4.3"
"r_2","2007Q2","perc","1","BG41","4.6"
"r_2","2007Q2","perc","2","BG41","4"
"r_2","2007Q2","perc","0","BG42","5.2"
"r_2","2007Q2","perc","1","BG42","4.4"
"r_2","2007Q2","perc","2","BG42","6.2"
"r_2","2007Q3","perc","0","BG","6.6"
"r_2","2007Q3","perc","1","BG","6"
"r_2","2007Q3","perc","2","BG","7.3"
"r_2","2007Q3","perc","0","BG31","8.9"
"r_2","2007Q3","perc","1","BG31","7.6"
"r_2","2007Q3","perc","2","BG31","10.5"
"r_2","2007Q3","perc","0","BG32","10.2"
"r_2","2007Q3","perc","1","BG32","10.1"
"r_2","2007Q3","perc","2","BG32","10.3"
"r_2","2007Q3","perc","0","BG33","10.1"
"r_2","2007Q3","perc","1","BG33","8"
"r_2","2007Q3","perc","2","BG33","12.5"
"r_2","2007Q3","perc","0","BG34","6.8"
"r_2","2007Q3","perc","1","BG34","6.4"
"r_2","2007Q3","perc","2","BG34","7.3"
"r_2","2007Q3","perc","0","BG41","3.9"
"r_2","2007Q3","perc","1","BG41","4"
"r_2","2007Q3","perc","2","BG41","3.7"
"r_2","2007Q3","perc","0","BG42","5"
"r_2","2007Q3","perc","1","BG42","4.1"
"r_2","2007Q3","perc","2","BG42","5.9"
"r_2","2007Q4","perc","0","BG","6.1"
"r_2","2007Q4","perc","1","BG","5.6"
"r_2","2007Q4","perc","2","BG","6.7"
"r_2","2007Q4","perc","0","BG31","9"
"r_2","2007Q4","perc","1","BG31","8.1"
"r_2","2007Q4","perc","2","BG31","10"
"r_2","2007Q4","perc","0","BG32","9.9"
"r_2","2007Q4","perc","1","BG32","10.3"
"r_2","2007Q4","perc","2","BG32","9.4"
"r_2","2007Q4","perc","0","BG33","8.7"
"r_2","2007Q4","perc","1","BG33","7.1"
"r_2","2007Q4","perc","2","BG33","10.6"
"r_2","2007Q4","perc","0","BG34","5.9"
"r_2","2007Q4","perc","1","BG34","5.5"
"r_2","2007Q4","perc","2","BG34","6.3"
"r_2","2007Q4","perc","0","BG41","3.5"
"r_2","2007Q4","perc","1","BG41","3.3"
"r_2","2007Q4","perc","2","BG41","3.7"
"r_2","2007Q4","perc","0","BG42","4.8"
"r_2","2007Q4","perc","1","BG42","4.1"
"r_2","2007Q4","perc","2","BG42","5.7"
"r_2","2008Q1","perc","0","BG","6.5"
"r_2","2008Q1","perc","1","BG","6.4"
"r_2","2008Q1","perc","2","BG","6.7"
"r_2","2008Q1","perc","0","BG31","8"
"r_2","2008Q1","perc","1","BG31","8.7"
"r_2","2008Q1","perc","2","BG31","7.2"
"r_2","2008Q1","perc","0","BG32","9.6"
"r_2","2008Q1","perc","1","BG32","10"
"r_2","2008Q1","perc","2","BG32","9.1"
"r_2","2008Q1","perc","0","BG33","9.8"
"r_2","2008Q1","perc","1","BG33","8.9"
"r_2","2008Q1","perc","2","BG33","10.9"
"r_2","2008Q1","perc","0","BG34","7.4"
"r_2","2008Q1","perc","1","BG34","7.2"
"r_2","2008Q1","perc","2","BG34","7.7"
"r_2","2008Q1","perc","0","BG41","3.5"
"r_2","2008Q1","perc","1","BG41","3.3"
"r_2","2008Q1","perc","2","BG41","3.7"
"r_2","2008Q1","perc","0","BG42","5.7"
"r_2","2008Q1","perc","1","BG42","5.2"
"r_2","2008Q1","perc","2","BG42","6.3"
"r_2","2008Q2","perc","0","BG","5.8"
"r_2","2008Q2","perc","1","BG","5.6"
"r_2","2008Q2","perc","2","BG","6"
"r_2","2008Q2","perc","0","BG31","7"
"r_2","2008Q2","perc","1","BG31","7.9"
"r_2","2008Q2","perc","2","BG31","5.9"
"r_2","2008Q2","perc","0","BG32","9.3"
"r_2","2008Q2","perc","1","BG32","8.9"
"r_2","2008Q2","perc","2","BG32","9.7"
"r_2","2008Q2","perc","0","BG33","9.7"
"r_2","2008Q2","perc","1","BG33","8.5"
"r_2","2008Q2","perc","2","BG33","11.2"
"r_2","2008Q2","perc","0","BG34","5.7"
"r_2","2008Q2","perc","1","BG34","6"
"r_2","2008Q2","perc","2","BG34","5.5"
"r_2","2008Q2","perc","0","BG41","3"
"r_2","2008Q2","perc","1","BG41","2.6"
"r_2","2008Q2","perc","2","BG41","3.5"
"r_2","2008Q2","perc","0","BG42","4.8"
"r_2","2008Q2","perc","1","BG42","4.6"
"r_2","2008Q2","perc","2","BG42","5"
"r_2","2008Q3","perc","0","BG","5.1"
"r_2","2008Q3","perc","1","BG","5"
"r_2","2008Q3","perc","2","BG","5.3"
"r_2","2008Q3","perc","0","BG31","6.7"
"r_2","2008Q3","perc","1","BG31","6.8"
"r_2","2008Q3","perc","2","BG31","6.5"
"r_2","2008Q3","perc","0","BG32","7.8"
"r_2","2008Q3","perc","1","BG32","8"
"r_2","2008Q3","perc","2","BG32","7.6"
"r_2","2008Q3","perc","0","BG33","8.2"
"r_2","2008Q3","perc","1","BG33","6.8"
"r_2","2008Q3","perc","2","BG33","9.8"
"r_2","2008Q3","perc","0","BG34","4.9"
"r_2","2008Q3","perc","1","BG34","4.8"
"r_2","2008Q3","perc","2","BG34","5.1"
"r_2","2008Q3","perc","0","BG41","2.7"
"r_2","2008Q3","perc","1","BG41","2.9"
"r_2","2008Q3","perc","2","BG41","2.6"
"r_2","2008Q3","perc","0","BG42","4.6"
"r_2","2008Q3","perc","1","BG42","4.5"
"r_2","2008Q3","perc","2","BG42","4.7"
"r_2","2008Q4","perc","0","BG","5"
"r_2","2008Q4","perc","1","BG","4.9"
"r_2","2008Q4","perc","2","BG","5.1"
"r_2","2008Q4","perc","0","BG31","6.7"
"r_2","2008Q4","perc","1","BG31","7.1"
"r_2","2008Q4","perc","2","BG31","6.3"
"r_2","2008Q4","perc","0","BG32","7.5"
"r_2","2008Q4","perc","1","BG32","7.7"
"r_2","2008Q4","perc","2","BG32","7.1"
"r_2","2008Q4","perc","0","BG33","6.8"
"r_2","2008Q4","perc","1","BG33","5.3"
"r_2","2008Q4","perc","2","BG33","8.7"
"r_2","2008Q4","perc","0","BG34","5.1"
"r_2","2008Q4","perc","1","BG34","4.5"
"r_2","2008Q4","perc","2","BG34","5.9"
"r_2","2008Q4","perc","0","BG41","2.5"
"r_2","2008Q4","perc","1","BG41","2.7"
"r_2","2008Q4","perc","2","BG41","2.2"
"r_2","2008Q4","perc","0","BG42","5.3"
"r_2","2008Q4","perc","1","BG42","5.5"
"r_2","2008Q4","perc","2","BG42","5"
"r_2","2009Q1","perc","0","BG","6.4"
"r_2","2009Q1","perc","1","BG","6.5"
"r_2","2009Q1","perc","2","BG","6.2"
"r_2","2009Q1","perc","0","BG31","8.2"
"r_2","2009Q1","perc","1","BG31","8.5"
"r_2","2009Q1","perc","2","BG31","7.9"
"r_2","2009Q1","perc","0","BG32","9.4"
"r_2","2009Q1","perc","1","BG32","9.4"
"r_2","2009Q1","perc","2","BG32","9.4"
"r_2","2009Q1","perc","0","BG33","9.2"
"r_2","2009Q1","perc","1","BG33","9.4"
"r_2","2009Q1","perc","2","BG33","9"
"r_2","2009Q1","perc","0","BG34","6.8"
"r_2","2009Q1","perc","1","BG34","6.3"
"r_2","2009Q1","perc","2","BG34","7.5"
"r_2","2009Q1","perc","0","BG41","3.1"
"r_2","2009Q1","perc","1","BG41","3.2"
"r_2","2009Q1","perc","2","BG41","3"
"r_2","2009Q1","perc","0","BG42","6.5"
"r_2","2009Q1","perc","1","BG42","7.3"
"r_2","2009Q1","perc","2","BG42","5.7"
"r_2","2009Q2","perc","0","BG","6.3"
"r_2","2009Q2","perc","1","BG","6.3"
"r_2","2009Q2","perc","2","BG","6.4"
"r_2","2009Q2","perc","0","BG31","8"
"r_2","2009Q2","perc","1","BG31","7.1"
"r_2","2009Q2","perc","2","BG31","8.8"
"r_2","2009Q2","perc","0","BG32","7.6"
"r_2","2009Q2","perc","1","BG32","7.5"
"r_2","2009Q2","perc","2","BG32","7.8"
"r_2","2009Q2","perc","0","BG33","10.3"
"r_2","2009Q2","perc","1","BG33","10.7"
"r_2","2009Q2","perc","2","BG33","9.8"
"r_2","2009Q2","perc","0","BG34","6.6"
"r_2","2009Q2","perc","1","BG34","6.1"
"r_2","2009Q2","perc","2","BG34","7.2"
"r_2","2009Q2","perc","0","BG41","3.9"
"r_2","2009Q2","perc","1","BG41","3.5"
"r_2","2009Q2","perc","2","BG41","4.3"
"r_2","2009Q2","perc","0","BG42","5.7"
"r_2","2009Q2","perc","1","BG42","6.5"
"r_2","2009Q2","perc","2","BG42","4.8"
"r_2","2009Q3","perc","0","BG","6.7"
"r_2","2009Q3","perc","1","BG","6.8"
"r_2","2009Q3","perc","2","BG","6.5"
"r_2","2009Q3","perc","0","BG31","7.6"
"r_2","2009Q3","perc","1","BG31","8.2"
"r_2","2009Q3","perc","2","BG31","6.9"
"r_2","2009Q3","perc","0","BG32","7.7"
"r_2","2009Q3","perc","1","BG32","7.5"
"r_2","2009Q3","perc","2","BG32","8"
"r_2","2009Q3","perc","0","BG33","10.5"
"r_2","2009Q3","perc","1","BG33","10.6"
"r_2","2009Q3","perc","2","BG33","10.5"
"r_2","2009Q3","perc","0","BG34","5.5"
"r_2","2009Q3","perc","1","BG34","5.3"
"r_2","2009Q3","perc","2","BG34","5.8"
