RevisionColumn,periods,Units,Age10_LFS,GenderID,ValueColumn
"r_17","2006Q1","perc","35 - 44","2","8.6"
"r_17","2006Q1","perc","45 - 54","2","8.1"
"r_17","2006Q1","perc","55 - 64","2","7.5"
"r_17","2006Q1","perc","65+","2","(2.3)"
"r_17","2006Q2","perc","0","0","9"
"r_17","2006Q2","perc","15 - 64","0","9"
"r_17","2006Q2","perc","20 - 64","0","8.7"
"r_17","2006Q2","perc","15 - 29","0","14.9"
"r_17","2006Q2","perc","15 - 24","0","20.5"
"r_17","2006Q2","perc","25 - 34","0","9.1"
"r_17","2006Q2","perc","35 - 44","0","7.2"
"r_17","2006Q2","perc","45 - 54","0","7.6"
"r_17","2006Q2","perc","55 - 64","0","8"
"r_17","2006Q2","perc","65+","0","(3.5)"
"r_17","2006Q2","perc","0","1","8.7"
"r_17","2006Q2","perc","15 - 64","1","8.8"
"r_17","2006Q2","perc","20 - 64","1","8.4"
"r_17","2006Q2","perc","15 - 29","1","14.3"
"r_17","2006Q2","perc","15 - 24","1","21"
"r_17","2006Q2","perc","25 - 34","1","8.2"
"r_17","2006Q2","perc","35 - 44","1","7.1"
"r_17","2006Q2","perc","45 - 54","1","7.2"
"r_17","2006Q2","perc","55 - 64","1","7.8"
"r_17","2006Q2","perc","65+","1","(3.5)"
"r_17","2006Q2","perc","0","2","9.2"
"r_17","2006Q2","perc","15 - 64","2","9.3"
"r_17","2006Q2","perc","20 - 64","2","8.9"
"r_17","2006Q2","perc","15 - 29","2","15.5"
"r_17","2006Q2","perc","15 - 24","2","19.7"
"r_17","2006Q2","perc","25 - 34","2","10.2"
"r_17","2006Q2","perc","35 - 44","2","7.3"
"r_17","2006Q2","perc","45 - 54","2","8"
"r_17","2006Q2","perc","55 - 64","2","8.2"
"r_17","2006Q2","perc","65+","2","(3.5)"
"r_17","2006Q3","perc","0","0","8.8"
"r_17","2006Q3","perc","15 - 64","0","8.9"
"r_17","2006Q3","perc","20 - 64","0","8.5"
"r_17","2006Q3","perc","15 - 29","0","15"
"r_17","2006Q3","perc","15 - 24","0","19.4"
"r_17","2006Q3","perc","25 - 34","0","9.4"
"r_17","2006Q3","perc","35 - 44","0","6.7"
"r_17","2006Q3","perc","45 - 54","0","7.5"
"r_17","2006Q3","perc","55 - 64","0","8.4"
"r_17","2006Q3","perc","65+","0","(1.5)"
"r_17","2006Q3","perc","0","1","8.3"
"r_17","2006Q3","perc","15 - 64","1","8.4"
"r_17","2006Q3","perc","20 - 64","1","8.1"
"r_17","2006Q3","perc","15 - 29","1","13.9"
"r_17","2006Q3","perc","15 - 24","1","18.2"
"r_17","2006Q3","perc","25 - 34","1","8.7"
"r_17","2006Q3","perc","35 - 44","1","5.9"
"r_17","2006Q3","perc","45 - 54","1","7.7"
"r_17","2006Q3","perc","55 - 64","1","7.9"
"r_17","2006Q3","perc","65+","1","(1.6)"
"r_17","2006Q3","perc","0","2","9.4"
"r_17","2006Q3","perc","15 - 64","2","9.5"
"r_17","2006Q3","perc","20 - 64","2","8.9"
"r_17","2006Q3","perc","15 - 29","2","16.2"
"r_17","2006Q3","perc","15 - 24","2","20.8"
"r_17","2006Q3","perc","25 - 34","2","10.3"
"r_17","2006Q3","perc","35 - 44","2","7.5"
"r_17","2006Q3","perc","45 - 54","2","7.4"
"r_17","2006Q3","perc","55 - 64","2","9.2"
"r_17","2006Q3","perc","65+","2","(1.2)"
"r_17","2006Q4","perc","0","0","8.4"
"r_17","2006Q4","perc","15 - 64","0","8.4"
"r_17","2006Q4","perc","20 - 64","0","8.1"
"r_17","2006Q4","perc","15 - 29","0","13.2"
"r_17","2006Q4","perc","15 - 24","0","17.4"
"r_17","2006Q4","perc","25 - 34","0","8.7"
"r_17","2006Q4","perc","35 - 44","0","7.1"
"r_17","2006Q4","perc","45 - 54","0","6.9"
"r_17","2006Q4","perc","55 - 64","0","7.8"
"r_17","2006Q4","perc","65+","0","(4.4)"
"r_17","2006Q4","perc","0","1","8.1"
"r_17","2006Q4","perc","15 - 64","1","8.1"
"r_17","2006Q4","perc","20 - 64","1","7.9"
"r_17","2006Q4","perc","15 - 29","1","12.5"
"r_17","2006Q4","perc","15 - 24","1","15"
"r_17","2006Q4","perc","25 - 34","1","9.2"
"r_17","2006Q4","perc","35 - 44","1","6.7"
"r_17","2006Q4","perc","45 - 54","1","6.5"
"r_17","2006Q4","perc","55 - 64","1","7.5"
"r_17","2006Q4","perc","65+","1","(4.0)"
