RevisionColumn,periods,Units,Indicators,ValueColumn
"r_3","2016","1000BGN","3.1.2.4.3.2.1.2.2","0"
"r_3","2017","1000BGN","3.1.2.4.3.2.1.2.2","0"
"r_3","2018","1000BGN","3.1.2.4.3.2.1.2.2","0"
"r_3","2019","1000BGN","3.1.2.4.3.2.1.2.2",".."
"r_3","2020","1000BGN","3.1.2.4.3.2.1.2.2",".."
"r_3","2021","1000BGN","3.1.2.4.3.2.1.2.2",".."
"r_3","2005","1000BGN","3.1.2.4.3.2.1.2.3","1380"
"r_3","2006","1000BGN","3.1.2.4.3.2.1.2.3","1517"
"r_3","2007","1000BGN","3.1.2.4.3.2.1.2.3","2088"
"r_3","2008","1000BGN","3.1.2.4.3.2.1.2.3","2738"
"r_3","2009","1000BGN","3.1.2.4.3.2.1.2.3","3925"
"r_3","2010","1000BGN","3.1.2.4.3.2.1.2.3","3727"
"r_3","2011","1000BGN","3.1.2.4.3.2.1.2.3","4230"
"r_3","2012","1000BGN","3.1.2.4.3.2.1.2.3","4493"
"r_3","2013","1000BGN","3.1.2.4.3.2.1.2.3",".."
"r_3","2014","1000BGN","3.1.2.4.3.2.1.2.3",".."
"r_3","2015","1000BGN","3.1.2.4.3.2.1.2.3",".."
"r_3","2016","1000BGN","3.1.2.4.3.2.1.2.3",".."
"r_3","2017","1000BGN","3.1.2.4.3.2.1.2.3",".."
"r_3","2018","1000BGN","3.1.2.4.3.2.1.2.3",".."
"r_3","2019","1000BGN","3.1.2.4.3.2.1.2.3","6364"
"r_3","2020","1000BGN","3.1.2.4.3.2.1.2.3","6664"
"r_3","2021","1000BGN","3.1.2.4.3.2.1.2.3","7095"
"r_3","2005","1000BGN","3.1.2.4.3.2.1.3","-21373"
"r_3","2006","1000BGN","3.1.2.4.3.2.1.3","-12392"
"r_3","2007","1000BGN","3.1.2.4.3.2.1.3","21467"
"r_3","2008","1000BGN","3.1.2.4.3.2.1.3","5650"
"r_3","2009","1000BGN","3.1.2.4.3.2.1.3","14673"
