RevisionColumn,NKPD2011_CLS,Units,periods,GenderID,ValueColumn
"r_2","5","1000cp","2014Q3","0","638.5"
"r_2","5","1000cp","2014Q3","1","260.2"
"r_2","5","1000cp","2014Q3","2","378.3"
"r_2","5","1000cp","2014Q4","0","632"
"r_2","5","1000cp","2014Q4","1","254.9"
"r_2","5","1000cp","2014Q4","2","377.1"
"r_2","5","1000cp","2015Q1","0","614.3"
"r_2","5","1000cp","2015Q1","1","249.3"
"r_2","5","1000cp","2015Q1","2","365"
"r_2","5","1000cp","2015Q2","0","638"
"r_2","5","1000cp","2015Q2","1","260.2"
"r_2","5","1000cp","2015Q2","2","377.8"
"r_2","5","1000cp","2015Q3","0","680.2"
"r_2","5","1000cp","2015Q3","1","279.3"
"r_2","5","1000cp","2015Q3","2","400.8"
"r_2","5","1000cp","2015Q4","0","635.4"
"r_2","5","1000cp","2015Q4","1","253.8"
"r_2","5","1000cp","2015Q4","2","381.6"
"r_2","6","1000cp","2011Q1","0","110.5"
"r_2","6","1000cp","2011Q1","1","70.9"
"r_2","6","1000cp","2011Q1","2","39.5"
"r_2","6","1000cp","2011Q2","0","132.5"
"r_2","6","1000cp","2011Q2","1","84"
"r_2","6","1000cp","2011Q2","2","48.5"
"r_2","6","1000cp","2011Q3","0","135.4"
"r_2","6","1000cp","2011Q3","1","81.5"
"r_2","6","1000cp","2011Q3","2","53.9"
"r_2","6","1000cp","2011Q4","0","117.6"
"r_2","6","1000cp","2011Q4","1","71.5"
"r_2","6","1000cp","2011Q4","2","46.1"
"r_2","6","1000cp","2012Q1","0","93.8"
"r_2","6","1000cp","2012Q1","1","60.9"
"r_2","6","1000cp","2012Q1","2","32.8"
"r_2","6","1000cp","2012Q2","0","115.8"
"r_2","6","1000cp","2012Q2","1","74.5"
"r_2","6","1000cp","2012Q2","2","41.3"
"r_2","6","1000cp","2012Q3","0","130.2"
"r_2","6","1000cp","2012Q3","1","78.4"
"r_2","6","1000cp","2012Q3","2","51.8"
"r_2","6","1000cp","2012Q4","0","107.6"
"r_2","6","1000cp","2012Q4","1","64.4"
"r_2","6","1000cp","2012Q4","2","43.2"
"r_2","6","1000cp","2013Q1","0","93.2"
"r_2","6","1000cp","2013Q1","1","60"
"r_2","6","1000cp","2013Q1","2","33.2"
"r_2","6","1000cp","2013Q2","0","124.6"
"r_2","6","1000cp","2013Q2","1","74.1"
"r_2","6","1000cp","2013Q2","2","50.5"
"r_2","6","1000cp","2013Q3","0","132.8"
"r_2","6","1000cp","2013Q3","1","74.8"
"r_2","6","1000cp","2013Q3","2","58"
"r_2","6","1000cp","2013Q4","0","108.4"
"r_2","6","1000cp","2013Q4","1","66.8"
