RevisionColumn,NUTS,Age10_LFS,GenderID,Units,periods,ValueColumn
"r_2","BG32","15 - 64_gr","1","1000cp","2004Q3","215.5"
"r_2","BG32","15 - 64_gr","2","1000cp","2004Q3","187.5"
"r_2","BG33","0","0","1000cp","2004Q3","443.2"
"r_2","BG33","0","1","1000cp","2004Q3","239.6"
"r_2","BG33","0","2","1000cp","2004Q3","203.6"
"r_2","BG33","15 - 64_gr","0","1000cp","2004Q3","436.5"
"r_2","BG33","15 - 64_gr","1","1000cp","2004Q3","235.9"
"r_2","BG33","15 - 64_gr","2","1000cp","2004Q3","200.6"
"r_2","BG34","0","0","1000cp","2004Q3","489.5"
"r_2","BG34","0","1","1000cp","2004Q3","267.3"
"r_2","BG34","0","2","1000cp","2004Q3","222.2"
"r_2","BG34","15 - 64_gr","0","1000cp","2004Q3","480.7"
"r_2","BG34","15 - 64_gr","1","1000cp","2004Q3","261.1"
"r_2","BG34","15 - 64_gr","2","1000cp","2004Q3","219.6"
"r_2","BG41","0","0","1000cp","2004Q3","999.2"
"r_2","BG41","0","1","1000cp","2004Q3","514"
"r_2","BG41","0","2","1000cp","2004Q3","485.1"
"r_2","BG41","15 - 64_gr","0","1000cp","2004Q3","985.4"
"r_2","BG41","15 - 64_gr","1","1000cp","2004Q3","505.8"
"r_2","BG41","15 - 64_gr","2","1000cp","2004Q3","479.6"
"r_2","BG42","0","0","1000cp","2004Q3","680.1"
"r_2","BG42","0","1","1000cp","2004Q3","362.2"
"r_2","BG42","0","2","1000cp","2004Q3","317.9"
"r_2","BG42","15 - 64_gr","0","1000cp","2004Q3","671.9"
"r_2","BG42","15 - 64_gr","1","1000cp","2004Q3","357.2"
"r_2","BG42","15 - 64_gr","2","1000cp","2004Q3","314.7"
"r_2","BG","0","0","1000cp","2004Q4","3302.8"
"r_2","BG","0","1","1000cp","2004Q4","1765.6"
"r_2","BG","0","2","1000cp","2004Q4","1537.2"
"r_2","BG","15 - 64_gr","0","1000cp","2004Q4","3261.1"
"r_2","BG","15 - 64_gr","1","1000cp","2004Q4","1738"
"r_2","BG","15 - 64_gr","2","1000cp","2004Q4","1523.1"
"r_2","BG31","0","0","1000cp","2004Q4","365.7"
"r_2","BG31","0","1","1000cp","2004Q4","195.1"
"r_2","BG31","0","2","1000cp","2004Q4","170.6"
"r_2","BG31","15 - 64_gr","0","1000cp","2004Q4","360.5"
"r_2","BG31","15 - 64_gr","1","1000cp","2004Q4","191.3"
"r_2","BG31","15 - 64_gr","2","1000cp","2004Q4","169.2"
"r_2","BG32","0","0","1000cp","2004Q4","395"
"r_2","BG32","0","1","1000cp","2004Q4","213.6"
"r_2","BG32","0","2","1000cp","2004Q4","181.4"
"r_2","BG32","15 - 64_gr","0","1000cp","2004Q4","390.1"
"r_2","BG32","15 - 64_gr","1","1000cp","2004Q4","209.8"
"r_2","BG32","15 - 64_gr","2","1000cp","2004Q4","180.3"
"r_2","BG33","0","0","1000cp","2004Q4","443.7"
"r_2","BG33","0","1","1000cp","2004Q4","241.9"
"r_2","BG33","0","2","1000cp","2004Q4","201.8"
"r_2","BG33","15 - 64_gr","0","1000cp","2004Q4","436.6"
"r_2","BG33","15 - 64_gr","1","1000cp","2004Q4","238.2"
"r_2","BG33","15 - 64_gr","2","1000cp","2004Q4","198.3"
"r_2","BG34","0","0","1000cp","2004Q4","468.8"
"r_2","BG34","0","1","1000cp","2004Q4","264"
"r_2","BG34","0","2","1000cp","2004Q4","204.8"
"r_2","BG34","15 - 64_gr","0","1000cp","2004Q4","462.6"
"r_2","BG34","15 - 64_gr","1","1000cp","2004Q4","259"
"r_2","BG34","15 - 64_gr","2","1000cp","2004Q4","203.7"
"r_2","BG41","0","0","1000cp","2004Q4","985.3"
"r_2","BG41","0","1","1000cp","2004Q4","505.3"
"r_2","BG41","0","2","1000cp","2004Q4","480.1"
"r_2","BG41","15 - 64_gr","0","1000cp","2004Q4","972"
"r_2","BG41","15 - 64_gr","1","1000cp","2004Q4","497.2"
"r_2","BG41","15 - 64_gr","2","1000cp","2004Q4","474.9"
"r_2","BG42","0","0","1000cp","2004Q4","644.2"
"r_2","BG42","0","1","1000cp","2004Q4","345.7"
"r_2","BG42","0","2","1000cp","2004Q4","298.4"
"r_2","BG42","15 - 64_gr","0","1000cp","2004Q4","639.3"
"r_2","BG42","15 - 64_gr","1","1000cp","2004Q4","342.5"
"r_2","BG42","15 - 64_gr","2","1000cp","2004Q4","296.8"
"r_2","BG","0","0","1000cp","2005Q1","3200.7"
"r_2","BG","0","1","1000cp","2005Q1","1712"
"r_2","BG","0","2","1000cp","2005Q1","1488.7"
"r_2","BG","15 - 64_gr","0","1000cp","2005Q1","3164.4"
"r_2","BG","15 - 64_gr","1","1000cp","2005Q1","1686.2"
"r_2","BG","15 - 64_gr","2","1000cp","2005Q1","1478.2"
"r_2","BG31","0","0","1000cp","2005Q1","336.8"
"r_2","BG31","0","1","1000cp","2005Q1","178.5"
"r_2","BG31","0","2","1000cp","2005Q1","158.3"
