RevisionColumn,periods,BUILD_Permit,BUILD_Permit1,District_Projection,periods_name,ValueColumn
"r_42","2005","3","4","SLS","Q1","12"
"r_42","2005","3","6","SLS","Q1","7793"
"r_42","2005","1","4","SLS","Q2","11"
"r_42","2005","1","5","SLS","Q2","13"
"r_42","2005","1","6","SLS","Q2","2607"
"r_42","2005","2","4","SLS","Q2",".."
"r_42","2005","2","6","SLS","Q2",".."
"r_42","2005","3","4","SLS","Q2","20"
"r_42","2005","3","6","SLS","Q2","7211"
"r_42","2005","1","4","SLS","Q3","10"
"r_42","2005","1","5","SLS","Q3","16"
"r_42","2005","1","6","SLS","Q3","3110"
"r_42","2005","2","4","SLS","Q3",".."
"r_42","2005","2","6","SLS","Q3",".."
"r_42","2005","3","4","SLS","Q3","26"
"r_42","2005","3","6","SLS","Q3","12814"
"r_42","2005","1","4","SLS","Q4","8"
"r_42","2005","1","5","SLS","Q4","9"
"r_42","2005","1","6","SLS","Q4","1031"
"r_42","2005","2","4","SLS","Q4","-"
"r_42","2005","2","6","SLS","Q4","-"
"r_42","2005","3","4","SLS","Q4","23"
"r_42","2005","3","6","SLS","Q4","7535"
"r_42","2005","1","4","SLV","Q1","39"
"r_42","2005","1","5","SLV","Q1","117"
"r_42","2005","1","6","SLV","Q1","17750"
"r_42","2005","2","4","SLV","Q1","4"
"r_42","2005","2","6","SLV","Q1","561"
"r_42","2005","3","4","SLV","Q1","40"
"r_42","2005","3","6","SLV","Q1","16390"
"r_42","2005","1","4","SLV","Q2","50"
"r_42","2005","1","5","SLV","Q2","104"
"r_42","2005","1","6","SLV","Q2","17919"
"r_42","2005","2","4","SLV","Q2","32"
"r_42","2005","2","6","SLV","Q2","18294"
"r_42","2005","3","4","SLV","Q2","23"
"r_42","2005","3","6","SLV","Q2","8867"
"r_42","2005","1","4","SLV","Q3","46"
"r_42","2005","1","5","SLV","Q3","149"
"r_42","2005","1","6","SLV","Q3","23371"
"r_42","2005","2","4","SLV","Q3",".."
"r_42","2005","2","6","SLV","Q3",".."
"r_42","2005","3","4","SLV","Q3","42"
"r_42","2005","3","6","SLV","Q3","13622"
"r_42","2005","1","4","SLV","Q4","30"
"r_42","2005","1","5","SLV","Q4","106"
"r_42","2005","1","6","SLV","Q4","21550"
"r_42","2005","2","4","SLV","Q4","3"
"r_42","2005","2","6","SLV","Q4","2147"
"r_42","2005","3","4","SLV","Q4","43"
"r_42","2005","3","6","SLV","Q4","13024"
"r_42","2005","1","4","SML","Q1","5"
"r_42","2005","1","5","SML","Q1","7"
