RevisionColumn,NACE2008A21,periods,Ownership,Units,ValueColumn
"r_13","G","2017","total","BGN_tabl","11211"
"r_13","G","2017","1","BGN_tabl","13620"
"r_13","G","2017","2","BGN_tabl","11208"
"r_13","G","2018","total","BGN_tabl","12415"
"r_13","G","2018","1","BGN_tabl","14762"
"r_13","G","2018","2","BGN_tabl","12412"
"r_13","G","2019","total","BGN_tabl","13559"
"r_13","G","2019","1","BGN_tabl","16694"
"r_13","G","2019","2","BGN_tabl","13556"
"r_13","G","2020","total","BGN_tabl","14559"
"r_13","G","2020","1","BGN_tabl","18264"
"r_13","G","2020","2","BGN_tabl","14555"
"r_13","G","2021","total","BGN_tabl","15892"
"r_13","G","2021","1","BGN_tabl","19281"
"r_13","G","2021","2","BGN_tabl","15889"
"r_13","G","2022","total","BGN_tabl","18220"
"r_13","G","2022","1","BGN_tabl","19902"
"r_13","G","2022","2","BGN_tabl","18218"
"r_13","G","2023","total","BGN_tabl","21137"
"r_13","G","2023","1","BGN_tabl","24426"
"r_13","G","2023","2","BGN_tabl","21134"
"r_13","G","2024","total","BGN_tabl","23876"
"r_13","G","2024","1","BGN_tabl","27962"
"r_13","G","2024","2","BGN_tabl","23873"
"r_13","H","2008","total","BGN_tabl","7304"
"r_13","H","2008","1","BGN_tabl","8647"
"r_13","H","2008","2","BGN_tabl","6251"
"r_13","H","2009","total","BGN_tabl","7756"
"r_13","H","2009","1","BGN_tabl","9322"
"r_13","H","2009","2","BGN_tabl","6577"
"r_13","H","2010","total","BGN_tabl","8222"
"r_13","H","2010","1","BGN_tabl","9730"
"r_13","H","2010","2","BGN_tabl","7083"
"r_13","H","2011","total","BGN_tabl","8641"
"r_13","H","2011","1","BGN_tabl","10133"
"r_13","H","2011","2","BGN_tabl","7614"
"r_13","H","2012","total","BGN_tabl","8878"
"r_13","H","2012","1","BGN_tabl","10537"
"r_13","H","2012","2","BGN_tabl","7870"
"r_13","H","2013","total","BGN_tabl","9093"
"r_13","H","2013","1","BGN_tabl","10982"
"r_13","H","2013","2","BGN_tabl","8009"
"r_13","H","2014","total","BGN_tabl","9350"
"r_13","H","2014","1","BGN_tabl","11704"
"r_13","H","2014","2","BGN_tabl","8059"
"r_13","H","2015","total","BGN_tabl","9800"
"r_13","H","2015","1","BGN_tabl","12205"
"r_13","H","2015","2","BGN_tabl","8536"
"r_13","H","2016","total","BGN_tabl","10421"
"r_13","H","2016","1","BGN_tabl","12878"
"r_13","H","2016","2","BGN_tabl","9190"
"r_13","H","2017","total","BGN_tabl","11181"
"r_13","H","2017","1","BGN_tabl","14032"
"r_13","H","2017","2","BGN_tabl","9803"
"r_13","H","2018","total","BGN_tabl","12281"
"r_13","H","2018","1","BGN_tabl","15226"
"r_13","H","2018","2","BGN_tabl","10901"
"r_13","H","2019","total","BGN_tabl","13401"
"r_13","H","2019","1","BGN_tabl","16649"
"r_13","H","2019","2","BGN_tabl","11896"
"r_13","H","2020","total","BGN_tabl","13966"
"r_13","H","2020","1","BGN_tabl","17193"
"r_13","H","2020","2","BGN_tabl","12412"
"r_13","H","2021","total","BGN_tabl","14990"
"r_13","H","2021","1","BGN_tabl","18378"
"r_13","H","2021","2","BGN_tabl","13490"
"r_13","H","2022","total","BGN_tabl","17126"
"r_13","H","2022","1","BGN_tabl","20983"
"r_13","H","2022","2","BGN_tabl","15542"
"r_13","H","2023","total","BGN_tabl","19879"
"r_13","H","2023","1","BGN_tabl","24570"
"r_13","H","2023","2","BGN_tabl","18008"
"r_13","H","2024","total","BGN_tabl","23236"
"r_13","H","2024","1","BGN_tabl","29266"
"r_13","H","2024","2","BGN_tabl","20860"
"r_13","I","2008","total","BGN_tabl","3963"
"r_13","I","2008","1","BGN_tabl","5667"
"r_13","I","2008","2","BGN_tabl","3879"
"r_13","I","2009","total","BGN_tabl","4454"
"r_13","I","2009","1","BGN_tabl","6355"
"r_13","I","2009","2","BGN_tabl","4349"
"r_13","I","2010","total","BGN_tabl","4562"
"r_13","I","2010","1","BGN_tabl","6242"
"r_13","I","2010","2","BGN_tabl","4480"
"r_13","I","2011","total","BGN_tabl","4995"
"r_13","I","2011","1","BGN_tabl","6537"
"r_13","I","2011","2","BGN_tabl","4920"
"r_13","I","2012","total","BGN_tabl","5526"
"r_13","I","2012","1","BGN_tabl","6630"
"r_13","I","2012","2","BGN_tabl","5477"
"r_13","I","2013","total","BGN_tabl","5751"
"r_13","I","2013","1","BGN_tabl","7252"
"r_13","I","2013","2","BGN_tabl","5687"
"r_13","I","2014","total","BGN_tabl","6021"
"r_13","I","2014","1","BGN_tabl","7388"
"r_13","I","2014","2","BGN_tabl","5966"
"r_13","I","2015","total","BGN_tabl","6318"
"r_13","I","2015","1","BGN_tabl","7706"
"r_13","I","2015","2","BGN_tabl","6263"
"r_13","I","2016","total","BGN_tabl","6733"
"r_13","I","2016","1","BGN_tabl","8210"
"r_13","I","2016","2","BGN_tabl","6675"
"r_13","I","2017","total","BGN_tabl","7328"
"r_13","I","2017","1","BGN_tabl","9069"
"r_13","I","2017","2","BGN_tabl","7261"
"r_13","I","2018","total","BGN_tabl","8226"
"r_13","I","2018","1","BGN_tabl","10133"
"r_13","I","2018","2","BGN_tabl","8154"
"r_13","I","2019","total","BGN_tabl","9075"
"r_13","I","2019","1","BGN_tabl","11109"
"r_13","I","2019","2","BGN_tabl","9005"
"r_13","I","2020","total","BGN_tabl","9097"
"r_13","I","2020","1","BGN_tabl","11785"
"r_13","I","2020","2","BGN_tabl","8978"
"r_13","I","2021","total","BGN_tabl","10704"
"r_13","I","2021","1","BGN_tabl","13246"
"r_13","I","2021","2","BGN_tabl","10596"
"r_13","I","2022","total","BGN_tabl","12629"
"r_13","I","2022","1","BGN_tabl","14836"
"r_13","I","2022","2","BGN_tabl","12547"
"r_13","I","2023","total","BGN_tabl","14605"
"r_13","I","2023","1","BGN_tabl","17354"
"r_13","I","2023","2","BGN_tabl","14507"
