RevisionColumn,periods,Units,EKATTE,Residence,ValueColumn
"r_1","2000","num","VID30","1","-"
"r_1","2000","num","VID30","2","3"
"r_1","2001","num","VID30","0","4"
"r_1","2001","num","VID30","1","-"
"r_1","2001","num","VID30","2","4"
"r_1","2002","num","VID30","0","3"
"r_1","2002","num","VID30","1","-"
"r_1","2002","num","VID30","2","3"
"r_1","2003","num","VID30","0","4"
"r_1","2003","num","VID30","1","-"
"r_1","2003","num","VID30","2","4"
"r_1","2004","num","VID30","0","11"
"r_1","2004","num","VID30","1","-"
"r_1","2004","num","VID30","2","11"
"r_1","2005","num","VID30","0","9"
"r_1","2005","num","VID30","1","-"
"r_1","2005","num","VID30","2","9"
"r_1","2006","num","VID30","0","3"
"r_1","2006","num","VID30","1","-"
"r_1","2006","num","VID30","2","3"
"r_1","2007","num","VID30","0","7"
"r_1","2007","num","VID30","1","-"
"r_1","2007","num","VID30","2","7"
"r_1","2008","num","VID30","0","2"
"r_1","2008","num","VID30","1","-"
"r_1","2008","num","VID30","2","2"
"r_1","2009","num","VID30","0","9"
"r_1","2009","num","VID30","1","-"
"r_1","2009","num","VID30","2","9"
"r_1","2010","num","VID30","0","1"
"r_1","2010","num","VID30","1","-"
"r_1","2010","num","VID30","2","1"
"r_1","2011","num","VID30","0","2"
"r_1","2011","num","VID30","1","-"
"r_1","2011","num","VID30","2","2"
"r_1","2012","num","VID30","0","2"
"r_1","2012","num","VID30","1","-"
"r_1","2012","num","VID30","2","2"
"r_1","2013","num","VID30","0","-"
"r_1","2013","num","VID30","1","-"
"r_1","2013","num","VID30","2","-"
"r_1","2014","num","VID30","0","1"
"r_1","2014","num","VID30","1","-"
"r_1","2014","num","VID30","2","1"
"r_1","2000","num","VID33","0","5"
"r_1","2000","num","VID33","1","-"
"r_1","2000","num","VID33","2","5"
"r_1","2001","num","VID33","0","7"
"r_1","2001","num","VID33","1","-"
"r_1","2001","num","VID33","2","7"
"r_1","2002","num","VID33","0","10"
"r_1","2002","num","VID33","1","-"
"r_1","2002","num","VID33","2","10"
"r_1","2003","num","VID33","0","7"
"r_1","2003","num","VID33","1","-"
"r_1","2003","num","VID33","2","7"
"r_1","2004","num","VID33","0","14"
"r_1","2004","num","VID33","1","-"
"r_1","2004","num","VID33","2","14"
"r_1","2005","num","VID33","0","18"
"r_1","2005","num","VID33","1","-"
"r_1","2005","num","VID33","2","18"
"r_1","2006","num","VID33","0","13"
"r_1","2006","num","VID33","1","-"
"r_1","2006","num","VID33","2","13"
"r_1","2007","num","VID33","0","11"
"r_1","2007","num","VID33","1","-"
"r_1","2007","num","VID33","2","11"
"r_1","2008","num","VID33","0","5"
"r_1","2008","num","VID33","1","-"
"r_1","2008","num","VID33","2","5"
"r_1","2009","num","VID33","0","2"
"r_1","2009","num","VID33","1","-"
"r_1","2009","num","VID33","2","2"
"r_1","2010","num","VID33","0","2"
"r_1","2010","num","VID33","1","-"
"r_1","2010","num","VID33","2","2"
"r_1","2011","num","VID33","0","4"
"r_1","2011","num","VID33","1","-"
"r_1","2011","num","VID33","2","4"
"r_1","2012","num","VID33","0","2"
"r_1","2012","num","VID33","1","-"
"r_1","2012","num","VID33","2","2"
"r_1","2013","num","VID33","0","2"
"r_1","2013","num","VID33","1","-"
"r_1","2013","num","VID33","2","2"
"r_1","2014","num","VID33","0","3"
"r_1","2014","num","VID33","1","-"
"r_1","2014","num","VID33","2","3"
"r_1","2000","num","VID37","0","1"
"r_1","2000","num","VID37","1","-"
"r_1","2000","num","VID37","2","1"
"r_1","2001","num","VID37","0","1"
"r_1","2001","num","VID37","1","-"
"r_1","2001","num","VID37","2","1"
"r_1","2002","num","VID37","0","-"
"r_1","2002","num","VID37","1","-"
"r_1","2002","num","VID37","2","-"
"r_1","2003","num","VID37","0","3"
"r_1","2003","num","VID37","1","-"
"r_1","2003","num","VID37","2","3"
"r_1","2004","num","VID37","0","7"
"r_1","2004","num","VID37","1","-"
"r_1","2004","num","VID37","2","7"
"r_1","2005","num","VID37","0","5"
"r_1","2005","num","VID37","1","-"
"r_1","2005","num","VID37","2","5"
"r_1","2006","num","VID37","0","3"
"r_1","2006","num","VID37","1","-"
"r_1","2006","num","VID37","2","3"
"r_1","2007","num","VID37","0","7"
"r_1","2007","num","VID37","1","-"
"r_1","2007","num","VID37","2","7"
"r_1","2008","num","VID37","0","3"
"r_1","2008","num","VID37","1","-"
"r_1","2008","num","VID37","2","3"
"r_1","2009","num","VID37","0","1"
"r_1","2009","num","VID37","1","-"
"r_1","2009","num","VID37","2","1"
"r_1","2010","num","VID37","0","1"
"r_1","2010","num","VID37","1","-"
"r_1","2010","num","VID37","2","1"
"r_1","2011","num","VID37","0","1"
"r_1","2011","num","VID37","1","-"
"r_1","2011","num","VID37","2","1"
"r_1","2012","num","VID37","0","2"
"r_1","2012","num","VID37","1","-"
"r_1","2012","num","VID37","2","2"
"r_1","2013","num","VID37","0","1"
"r_1","2013","num","VID37","1","-"
"r_1","2013","num","VID37","2","1"
"r_1","2014","num","VID37","0","1"
"r_1","2014","num","VID37","1","-"
"r_1","2014","num","VID37","2","1"
"r_1","2000","num","VRC","0","310"
"r_1","2000","num","VRC","1","235"
"r_1","2000","num","VRC","2","75"
"r_1","2001","num","VRC","0","255"
"r_1","2001","num","VRC","1","180"
"r_1","2001","num","VRC","2","75"
"r_1","2002","num","VRC","0","275"
"r_1","2002","num","VRC","1","201"
"r_1","2002","num","VRC","2","74"
"r_1","2003","num","VRC","0","329"
"r_1","2003","num","VRC","1","243"
"r_1","2003","num","VRC","2","86"
"r_1","2004","num","VRC","0","507"
"r_1","2004","num","VRC","1","345"
"r_1","2004","num","VRC","2","162"
"r_1","2005","num","VRC","0","582"
"r_1","2005","num","VRC","1","395"
"r_1","2005","num","VRC","2","187"
"r_1","2006","num","VRC","0","478"
"r_1","2006","num","VRC","1","334"
"r_1","2006","num","VRC","2","144"
"r_1","2007","num","VRC","0","437"
"r_1","2007","num","VRC","1","308"
"r_1","2007","num","VRC","2","129"
"r_1","2008","num","VRC","0","409"
"r_1","2008","num","VRC","1","279"
"r_1","2008","num","VRC","2","130"
"r_1","2009","num","VRC","0","300"
"r_1","2009","num","VRC","1","219"
"r_1","2009","num","VRC","2","81"
"r_1","2010","num","VRC","0","218"
"r_1","2010","num","VRC","1","153"
"r_1","2010","num","VRC","2","65"
"r_1","2011","num","VRC","0","271"
"r_1","2011","num","VRC","1","196"
"r_1","2011","num","VRC","2","75"
"r_1","2012","num","VRC","0","265"
"r_1","2012","num","VRC","1","186"
"r_1","2012","num","VRC","2","79"
"r_1","2013","num","VRC","0","276"
"r_1","2013","num","VRC","1","193"
"r_1","2013","num","VRC","2","83"
"r_1","2014","num","VRC","0","284"
"r_1","2014","num","VRC","1","185"
"r_1","2014","num","VRC","2","99"
"r_1","2000","num","VRC05","0","5"
"r_1","2000","num","VRC05","1","-"
"r_1","2000","num","VRC05","2","5"
"r_1","2001","num","VRC05","0","2"
"r_1","2001","num","VRC05","1","-"
"r_1","2001","num","VRC05","2","2"
"r_1","2002","num","VRC05","0","6"
