RevisionColumn,periods,Units,Indicators,NUTS,ValueColumn
"r_2","2015IX","num","3.5.2.6","BG341","2500134"
"r_2","2015IX","num","3.5.2.2","BG341","1006038"
"r_2","2015IX","num","3.5.2.2.1","BG341","181133"
"r_2","2015IX","num","3.5.2.2.2","BG341","824905"
"r_2","2015IX","num","3.5.2.1","BG341","168634"
"r_2","2015IX","num","3.5.2.1.1","BG341","48434"
"r_2","2015IX","num","3.5.2.1.2","BG341","120200"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG341","46597703"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG341","5708746"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG341","40888957"
"r_2","2015IX","num","3.5.2.5","BG342","82"
"r_2","2015IX","num","3.5.2.4","BG342","2536"
"r_2","2015IX","num","3.5.2.6","BG342","74356"
"r_2","2015IX","num","3.5.2.2","BG342","8824"
"r_2","2015IX","num","3.5.2.2.1","BG342","7466"
"r_2","2015IX","num","3.5.2.2.2","BG342","1358"
"r_2","2015IX","num","3.5.2.1","BG342","4748"
"r_2","2015IX","num","3.5.2.1.1","BG342","3904"
"r_2","2015IX","num","3.5.2.1.2","BG342","844"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG342","317840"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG342","240122"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG342","77718"
"r_2","2015IX","num","3.5.2.5","BG344","58"
"r_2","2015IX","num","3.5.2.4","BG344","3700"
"r_2","2015IX","num","3.5.2.6","BG344","109414"
"r_2","2015IX","num","3.5.2.2","BG344","33032"
"r_2","2015IX","num","3.5.2.2.1","BG344","28216"
"r_2","2015IX","num","3.5.2.2.2","BG344","4816"
"r_2","2015IX","num","3.5.2.1","BG344","10725"
"r_2","2015IX","num","3.5.2.1.1","BG344","8636"
"r_2","2015IX","num","3.5.2.1.2","BG344","2089"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG344","1246159"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG344","947214"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG344","298945"
"r_2","2015IX","num","3.5.2.5","BG343","21"
"r_2","2015IX","num","3.5.2.4","BG343","709"
"r_2","2015IX","num","3.5.2.6","BG343","21210"
"r_2","2015IX","num","3.5.2.2","BG343","4548"
"r_2","2015IX","num","3.5.2.2.1","BG343","3240"
"r_2","2015IX","num","3.5.2.2.2","BG343","1308"
"r_2","2015IX","num","3.5.2.1","BG343","1755"
"r_2","2015IX","num","3.5.2.1.1","BG343","1392"
"r_2","2015IX","num","3.5.2.1.2","BG343","363"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG343","160253"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG343","103255"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG343","56998"
"r_2","2015IX","num","3.5.2.5","BG4","1049"
"r_2","2015IX","num","3.5.2.4","BG4","59394"
"r_2","2015IX","num","3.5.2.6","BG4","1741608"
"r_2","2015IX","num","3.5.2.2","BG4","447233"
"r_2","2015IX","num","3.5.2.2.1","BG4","274822"
"r_2","2015IX","num","3.5.2.2.2","BG4","172411"
"r_2","2015IX","num","3.5.2.1","BG4","223579"
"r_2","2015IX","num","3.5.2.1.1","BG4","135796"
"r_2","2015IX","num","3.5.2.1.2","BG4","87783"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG4","22700232"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG4","10939644"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG4","11760588"
"r_2","2015IX","num","3.5.2.5","BG41","497"
"r_2","2015IX","num","3.5.2.4","BG41","34190"
"r_2","2015IX","num","3.5.2.6","BG41","1010618"
"r_2","2015IX","num","3.5.2.2","BG41","269542"
"r_2","2015IX","num","3.5.2.2.1","BG41","138900"
"r_2","2015IX","num","3.5.2.2.2","BG41","130642"
"r_2","2015IX","num","3.5.2.1","BG41","143222"
"r_2","2015IX","num","3.5.2.1.1","BG41","72983"
"r_2","2015IX","num","3.5.2.1.2","BG41","70239"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG41","15590268"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG41","5781806"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG41","9808462"
"r_2","2015IX","num","3.5.2.5","BG413","218"
"r_2","2015IX","num","3.5.2.4","BG413","14027"
"r_2","2015IX","num","3.5.2.6","BG413","407930"
"r_2","2015IX","num","3.5.2.2","BG413","71004"
"r_2","2015IX","num","3.5.2.2.1","BG413","53224"
"r_2","2015IX","num","3.5.2.2.2","BG413","17780"
"r_2","2015IX","num","3.5.2.1","BG413","32655"
"r_2","2015IX","num","3.5.2.1.1","BG413","25094"
"r_2","2015IX","num","3.5.2.1.2","BG413","7561"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG413","3099389"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG413","2135095"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG413","964294"
"r_2","2015IX","num","3.5.2.5","BG415","63"
"r_2","2015IX","num","3.5.2.4","BG415","3027"
"r_2","2015IX","num","3.5.2.6","BG415","90810"
"r_2","2015IX","num","3.5.2.2","BG415",".."
"r_2","2015IX","num","3.5.2.2.1","BG415",".."
"r_2","2015IX","num","3.5.2.2.2","BG415",".."
"r_2","2015IX","num","3.5.2.1","BG415",".."
"r_2","2015IX","num","3.5.2.1.1","BG415",".."
"r_2","2015IX","num","3.5.2.1.2","BG415",".."
"r_2","2015IX","BGN_tabl","3.5.2.3","BG415",".."
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG415",".."
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG415",".."
"r_2","2015IX","num","3.5.2.5","BG414","16"
"r_2","2015IX","num","3.5.2.4","BG414","685"
"r_2","2015IX","num","3.5.2.6","BG414","20550"
"r_2","2015IX","num","3.5.2.2","BG414",".."
"r_2","2015IX","num","3.5.2.2.1","BG414",".."
"r_2","2015IX","num","3.5.2.2.2","BG414",".."
"r_2","2015IX","num","3.5.2.1","BG414",".."
"r_2","2015IX","num","3.5.2.1.1","BG414",".."
"r_2","2015IX","num","3.5.2.1.2","BG414",".."
"r_2","2015IX","BGN_tabl","3.5.2.3","BG414",".."
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG414",".."
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG414",".."
"r_2","2015IX","num","3.5.2.5","BG412","74"
"r_2","2015IX","num","3.5.2.4","BG412","5117"
"r_2","2015IX","num","3.5.2.6","BG412","151991"
"r_2","2015IX","num","3.5.2.2","BG412","30865"
"r_2","2015IX","num","3.5.2.2.1","BG412","26370"
"r_2","2015IX","num","3.5.2.2.2","BG412","4495"
"r_2","2015IX","num","3.5.2.1","BG412","14065"
"r_2","2015IX","num","3.5.2.1.1","BG412","12258"
"r_2","2015IX","num","3.5.2.1.2","BG412","1807"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG412","1110137"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG412","923503"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG412","186634"
"r_2","2015IX","num","3.5.2.5","BG411","126"
"r_2","2015IX","num","3.5.2.4","BG411","11334"
"r_2","2015IX","num","3.5.2.6","BG411","339337"
"r_2","2015IX","num","3.5.2.2","BG411","152256"
"r_2","2015IX","num","3.5.2.2.1","BG411","46800"
"r_2","2015IX","num","3.5.2.2.2","BG411","105456"
"r_2","2015IX","num","3.5.2.1","BG411","87613"
"r_2","2015IX","num","3.5.2.1.1","BG411","28493"
"r_2","2015IX","num","3.5.2.1.2","BG411","59120"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG411","10948705"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG411","2423460"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG411","8525245"
"r_2","2015IX","num","3.5.2.5","BG42","552"
"r_2","2015IX","num","3.5.2.4","BG42","25204"
"r_2","2015IX","num","3.5.2.6","BG42","730990"
"r_2","2015IX","num","3.5.2.2","BG42","177691"
"r_2","2015IX","num","3.5.2.2.1","BG42","135922"
"r_2","2015IX","num","3.5.2.2.2","BG42","41769"
"r_2","2015IX","num","3.5.2.1","BG42","80357"
"r_2","2015IX","num","3.5.2.1.1","BG42","62813"
"r_2","2015IX","num","3.5.2.1.2","BG42","17544"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG42","7109964"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG42","5157838"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG42","1952126"
"r_2","2015IX","num","3.5.2.5","BG425","35"
"r_2","2015IX","num","3.5.2.4","BG425","1093"
"r_2","2015IX","num","3.5.2.6","BG425","32790"
"r_2","2015IX","num","3.5.2.2","BG425","6631"
"r_2","2015IX","num","3.5.2.2.1","BG425","5327"
"r_2","2015IX","num","3.5.2.2.2","BG425","1304"
"r_2","2015IX","num","3.5.2.1","BG425","4934"
"r_2","2015IX","num","3.5.2.1.1","BG425","3982"
