RevisionColumn,PlaceResidence,Units,periods,GenderID,ValueColumn
"r_2","2","1000cp","2009Q4","1","453.4"
"r_2","2","1000cp","2009Q4","2","342.9"
"r_2","0","1000cp","2010Q1","0","3375.4"
"r_2","0","1000cp","2010Q1","1","1818.7"
"r_2","0","1000cp","2010Q1","2","1556.7"
"r_2","1","1000cp","2010Q1","0","2643.8"
"r_2","1","1000cp","2010Q1","1","1390.7"
"r_2","1","1000cp","2010Q1","2","1253.1"
"r_2","2","1000cp","2010Q1","0","731.6"
"r_2","2","1000cp","2010Q1","1","428"
"r_2","2","1000cp","2010Q1","2","303.6"
"r_2","0","1000cp","2010Q2","0","3441.1"
"r_2","0","1000cp","2010Q2","1","1851.8"
"r_2","0","1000cp","2010Q2","2","1589.4"
"r_2","1","1000cp","2010Q2","0","2666"
"r_2","1","1000cp","2010Q2","1","1400.6"
"r_2","1","1000cp","2010Q2","2","1265.4"
"r_2","2","1000cp","2010Q2","0","775.1"
"r_2","2","1000cp","2010Q2","1","451.2"
"r_2","2","1000cp","2010Q2","2","323.9"
"r_2","0","1000cp","2010Q3","0","3460.3"
"r_2","0","1000cp","2010Q3","1","1858.9"
"r_2","0","1000cp","2010Q3","2","1601.4"
"r_2","1","1000cp","2010Q3","0","2675.2"
"r_2","1","1000cp","2010Q3","1","1405.7"
"r_2","1","1000cp","2010Q3","2","1269.5"
"r_2","2","1000cp","2010Q3","0","785.1"
"r_2","2","1000cp","2010Q3","1","453.2"
"r_2","2","1000cp","2010Q3","2","331.9"
"r_2","0","1000cp","2010Q4","0","3433.6"
"r_2","0","1000cp","2010Q4","1","1829.3"
"r_2","0","1000cp","2010Q4","2","1604.3"
"r_2","1","1000cp","2010Q4","0","2665.5"
"r_2","1","1000cp","2010Q4","1","1388.2"
"r_2","1","1000cp","2010Q4","2","1277.4"
"r_2","2","1000cp","2010Q4","0","768.1"
"r_2","2","1000cp","2010Q4","1","441.1"
"r_2","2","1000cp","2010Q4","2","326.9"
"r_2","0","1000cp","2011Q1","0","3306.4"
"r_2","0","1000cp","2011Q1","1","1772.7"
"r_2","0","1000cp","2011Q1","2","1533.7"
"r_2","1","1000cp","2011Q1","0","2585.7"
"r_2","1","1000cp","2011Q1","1","1355.8"
"r_2","1","1000cp","2011Q1","2","1230"
"r_2","2","1000cp","2011Q1","0","720.6"
"r_2","2","1000cp","2011Q1","1","416.9"
"r_2","2","1000cp","2011Q1","2","303.7"
"r_2","0","1000cp","2011Q2","0","3318.3"
"r_2","0","1000cp","2011Q2","1","1776.6"
"r_2","0","1000cp","2011Q2","2","1541.7"
"r_2","1","1000cp","2011Q2","0","2572.6"
