RevisionColumn,NACE2008A21,periods,SZCLS_EMPL,Indicators,Units,ValueColumn
"r_1","A","2013","0","3.1.1.03.5","1000BGN","7904350"
"r_1","A","2014","0","3.1.1.03.1","num","17583"
"r_1","A","2014","0","3.1.1.03.2","num","84890"
"r_1","A","2014","0","3.1.1.03.3","1000BGN","6508855"
"r_1","A","2014","0","3.1.1.03.4","1000BGN","8935319"
"r_1","A","2014","0","3.1.1.03.5","1000BGN","7929851"
"r_1","A","2015","0","3.1.1.03.1","num","19055"
"r_1","A","2015","0","3.1.1.03.2","num","85988"
"r_1","A","2015","0","3.1.1.03.3","1000BGN","7341910"
"r_1","A","2015","0","3.1.1.03.4","1000BGN","9177321"
"r_1","A","2015","0","3.1.1.03.5","1000BGN","8335823"
"r_1","A","2016","0","3.1.1.03.1","num","19908"
"r_1","A","2016","0","3.1.1.03.2","num","87768"
"r_1","A","2016","0","3.1.1.03.3","1000BGN","7554021"
"r_1","A","2016","0","3.1.1.03.4","1000BGN","9606161"
"r_1","A","2016","0","3.1.1.03.5","1000BGN","8660032"
"r_1","A","2017","0","3.1.1.03.1","num","19880"
"r_1","A","2017","0","3.1.1.03.2","num","86888"
"r_1","A","2017","0","3.1.1.03.3","1000BGN","8054367"
"r_1","A","2017","0","3.1.1.03.4","1000BGN","9877052"
"r_1","A","2017","0","3.1.1.03.5","1000BGN","8629663"
"r_1","A","2018","0","3.1.1.03.1","num","19923"
"r_1","A","2018","0","3.1.1.03.2","num","86615"
"r_1","A","2018","0","3.1.1.03.3","1000BGN","8671389"
"r_1","A","2018","0","3.1.1.03.4","1000BGN","10414587"
"r_1","A","2018","0","3.1.1.03.5","1000BGN","9192001"
"r_1","A","2019","0","3.1.1.03.1","num","19265"
"r_1","A","2019","0","3.1.1.03.2","num","84678"
"r_1","A","2019","0","3.1.1.03.3","1000BGN","11412646"
"r_1","A","2019","0","3.1.1.03.4","1000BGN","10634584"
"r_1","A","2019","0","3.1.1.03.5","1000BGN","9537068"
"r_1","A","2020","0","3.1.1.03.1","num","19126"
