RevisionColumn,HBS_Meassure,HBS_OD,Residence,periods,ValueColumn
"r_10","1","12","2","2020","596"
"r_10","1","12","0","2021","582"
"r_10","1","12","1","2021","560"
"r_10","1","12","2","2021","649"
"r_10","1","12","0","2022","775"
"r_10","1","12","1","2022","748"
"r_10","1","12","2","2022","858"
"r_10","1","13","0","2008","291"
"r_10","1","13","1","2008","378"
"r_10","1","13","2","2008","96"
"r_10","1","13","0","2009","153"
"r_10","1","13","1","2009","163"
"r_10","1","13","2","2009","130"
"r_10","1","13","0","2010","94"
"r_10","1","13","1","2010","96"
"r_10","1","13","2","2010","90"
"r_10","1","13","0","2011","101"
"r_10","1","13","1","2011","110"
"r_10","1","13","2","2011","78"
"r_10","1","13","0","2012","142"
"r_10","1","13","1","2012","146"
"r_10","1","13","2","2012","130"
"r_10","1","13","0","2013","300"
"r_10","1","13","1","2013","353"
"r_10","1","13","2","2013","130"
"r_10","1","13","0","2014","147"
"r_10","1","13","1","2014","154"
"r_10","1","13","2","2014","126"
"r_10","1","13","0","2015","113"
"r_10","1","13","1","2015","127"
"r_10","1","13","2","2015","68"
"r_10","1","13","0","2016","135"
"r_10","1","13","1","2016","154"
"r_10","1","13","2","2016","80"
"r_10","1","13","0","2017","150"
"r_10","1","13","1","2017","161"
"r_10","1","13","2","2017","120"
"r_10","1","13","0","2018","243"
"r_10","1","13","1","2018","275"
"r_10","1","13","2","2018","152"
"r_10","1","13","0","2019","180"
"r_10","1","13","1","2019","208"
"r_10","1","13","2","2019","104"
"r_10","1","13","0","2020","143"
"r_10","1","13","1","2020","145"
"r_10","1","13","2","2020","138"
"r_10","1","13","0","2021","110"
"r_10","1","13","1","2021","116"
"r_10","1","13","2","2021","91"
"r_10","1","13","0","2022","115"
"r_10","1","13","1","2022","120"
"r_10","1","13","2","2022","100"
"r_10","2","11","0","2008","3502"
"r_10","2","11","1","2008","3755"
"r_10","2","11","2","2008","2921"
"r_10","2","11","0","2009","3693"
"r_10","2","11","1","2009","3965"
"r_10","2","11","2","2009","3052"
"r_10","2","11","0","2010","3648"
"r_10","2","11","1","2010","3853"
"r_10","2","11","2","2010","3102"
"r_10","2","11","0","2011","3782"
"r_10","2","11","1","2011","4049"
"r_10","2","11","2","2011","3062"
"r_10","2","11","0","2012","4327"
"r_10","2","11","1","2012","4618"
"r_10","2","11","2","2012","3464"
"r_10","2","11","0","2013","4814"
"r_10","2","11","1","2013","5202"
"r_10","2","11","2","2013","3600"
"r_10","2","11","0","2014","4813"
"r_10","2","11","1","2014","5171"
"r_10","2","11","2","2014","3661"
"r_10","2","11","0","2015","4953"
"r_10","2","11","1","2015","5333"
"r_10","2","11","2","2015","3745"
"r_10","2","11","0","2016","5167"
"r_10","2","11","1","2016","5559"
"r_10","2","11","2","2016","4051"
"r_10","2","11","0","2017","5586"
"r_10","2","11","1","2017","6048"
"r_10","2","11","2","2017","4311"
"r_10","2","11","0","2018","6013"
"r_10","2","11","1","2018","6484"
"r_10","2","11","2","2018","4714"
"r_10","2","11","0","2019","6592"
"r_10","2","11","1","2019","7143"
"r_10","2","11","2","2019","5115"
"r_10","2","11","0","2020","7002"
"r_10","2","11","1","2020","7532"
"r_10","2","11","2","2020","5545"
"r_10","2","11","0","2021","7705"
"r_10","2","11","1","2021","8242"
