RevisionColumn,periods,SZCLS_EMPL,NUTS,Units,Indicators,ValueColumn
"r_1","2020","0","BG3","1000BGN","3.1.1.03.5","98680559"
"r_1","2008","1","BG3","num","3.1.1.03.1","143702"
"r_1","2008","1","BG3","num","3.1.1.03.2","280516"
"r_1","2008","1","BG3","1000BGN","3.1.1.03.3","10244746"
"r_1","2008","1","BG3","1000BGN","3.1.1.03.4","18866958"
"r_1","2008","1","BG3","1000BGN","3.1.1.03.5","17807865"
"r_1","2009","1","BG3","num","3.1.1.03.1","153949"
"r_1","2009","1","BG3","num","3.1.1.03.2","299259"
"r_1","2009","1","BG3","1000BGN","3.1.1.03.3","12023921"
"r_1","2009","1","BG3","1000BGN","3.1.1.03.4","17449980"
"r_1","2009","1","BG3","1000BGN","3.1.1.03.5","16748669"
"r_1","2010","1","BG3","num","3.1.1.03.1","153176"
"r_1","2010","1","BG3","num","3.1.1.03.2","289824"
"r_1","2010","1","BG3","1000BGN","3.1.1.03.3","12375969"
"r_1","2010","1","BG3","1000BGN","3.1.1.03.4","18113013"
"r_1","2010","1","BG3","1000BGN","3.1.1.03.5","17473499"
"r_1","2011","1","BG3","num","3.1.1.03.1","151782"
"r_1","2011","1","BG3","num","3.1.1.03.2","286476"
"r_1","2011","1","BG3","1000BGN","3.1.1.03.3","12836487"
"r_1","2011","1","BG3","1000BGN","3.1.1.03.4","19496883"
"r_1","2011","1","BG3","1000BGN","3.1.1.03.5","18715377"
"r_1","2012","1","BG3","num","3.1.1.03.1","154196"
"r_1","2012","1","BG3","num","3.1.1.03.2","286607"
"r_1","2012","1","BG3","1000BGN","3.1.1.03.3","14318965"
"r_1","2012","1","BG3","1000BGN","3.1.1.03.4","21956594"
"r_1","2012","1","BG3","1000BGN","3.1.1.03.5","20772409"
"r_1","2013","1","BG3","num","3.1.1.03.1","155465"
"r_1","2013","1","BG3","num","3.1.1.03.2","286170"
"r_1","2013","1","BG3","1000BGN","3.1.1.03.3","14178208"
"r_1","2013","1","BG3","1000BGN","3.1.1.03.4","21955932"
"r_1","2013","1","BG3","1000BGN","3.1.1.03.5","20810429"
"r_1","2014","1","BG3","num","3.1.1.03.1","157236"
"r_1","2014","1","BG3","num","3.1.1.03.2","286755"
"r_1","2014","1","BG3","1000BGN","3.1.1.03.3","14046181"
"r_1","2014","1","BG3","1000BGN","3.1.1.03.4","22216118"
"r_1","2014","1","BG3","1000BGN","3.1.1.03.5","20810949"
"r_1","2015","1","BG3","num","3.1.1.03.1","160387"
"r_1","2015","1","BG3","num","3.1.1.03.2","286881"
