RevisionColumn,periods,Units,NUTS,Residence,GenderID,Age,ValueColumn
"r_1","2010","num","BG31","2","1","0","1235"
"r_1","2010","num","BG31","2","2","0","1120"
"r_1","2010","num","BG31","0","0","1 - 4","31303"
"r_1","2010","num","BG31","0","1","1 - 4","15930"
"r_1","2010","num","BG31","0","2","1 - 4","15373"
"r_1","2010","num","BG31","1","0","1 - 4","21109"
"r_1","2010","num","BG31","1","1","1 - 4","10739"
"r_1","2010","num","BG31","1","2","1 - 4","10370"
"r_1","2010","num","BG31","2","0","1 - 4","10194"
"r_1","2010","num","BG31","2","1","1 - 4","5191"
"r_1","2010","num","BG31","2","2","1 - 4","5003"
"r_1","2010","num","BG31","0","0","5 - 9","39374"
"r_1","2010","num","BG31","0","1","5 - 9","20106"
"r_1","2010","num","BG31","0","2","5 - 9","19268"
"r_1","2010","num","BG31","1","0","5 - 9","25677"
"r_1","2010","num","BG31","1","1","5 - 9","13202"
"r_1","2010","num","BG31","1","2","5 - 9","12475"
"r_1","2010","num","BG31","2","0","5 - 9","13697"
"r_1","2010","num","BG31","2","1","5 - 9","6904"
"r_1","2010","num","BG31","2","2","5 - 9","6793"
"r_1","2010","num","BG31","0","0","10 - 14","39538"
"r_1","2010","num","BG31","0","1","10 - 14","20350"
"r_1","2010","num","BG31","0","2","10 - 14","19188"
"r_1","2010","num","BG31","1","0","10 - 14","25706"
"r_1","2010","num","BG31","1","1","10 - 14","13184"
"r_1","2010","num","BG31","1","2","10 - 14","12522"
"r_1","2010","num","BG31","2","0","10 - 14","13832"
"r_1","2010","num","BG31","2","1","10 - 14","7166"
"r_1","2010","num","BG31","2","2","10 - 14","6666"
"r_1","2010","num","BG31","0","0","15 - 19","47687"
"r_1","2010","num","BG31","0","1","15 - 19","24397"
"r_1","2010","num","BG31","0","2","15 - 19","23290"
"r_1","2010","num","BG31","1","0","15 - 19","31660"
"r_1","2010","num","BG31","1","1","15 - 19","15961"
"r_1","2010","num","BG31","1","2","15 - 19","15699"
"r_1","2010","num","BG31","2","0","15 - 19","16027"
"r_1","2010","num","BG31","2","1","15 - 19","8436"
"r_1","2010","num","BG31","2","2","15 - 19","7591"
"r_1","2010","num","BG31","0","0","20 - 24","53063"
"r_1","2010","num","BG31","0","1","20 - 24","27891"
"r_1","2010","num","BG31","0","2","20 - 24","25172"
"r_1","2010","num","BG31","1","0","20 - 24","36334"
"r_1","2010","num","BG31","1","1","20 - 24","18814"
"r_1","2010","num","BG31","1","2","20 - 24","17520"
"r_1","2010","num","BG31","2","0","20 - 24","16729"
"r_1","2010","num","BG31","2","1","20 - 24","9077"
"r_1","2010","num","BG31","2","2","20 - 24","7652"
"r_1","2010","num","BG31","0","0","25 - 29","46938"
"r_1","2010","num","BG31","0","1","25 - 29","24712"
"r_1","2010","num","BG31","0","2","25 - 29","22226"
"r_1","2010","num","BG31","1","0","25 - 29","33616"
"r_1","2010","num","BG31","1","1","25 - 29","17450"
"r_1","2010","num","BG31","1","2","25 - 29","16166"
"r_1","2010","num","BG31","2","0","25 - 29","13322"
"r_1","2010","num","BG31","2","1","25 - 29","7262"
"r_1","2010","num","BG31","2","2","25 - 29","6060"
"r_1","2010","num","BG31","0","0","30 - 34","51880"
"r_1","2010","num","BG31","0","1","30 - 34","26805"
"r_1","2010","num","BG31","0","2","30 - 34","25075"
"r_1","2010","num","BG31","1","0","30 - 34","35836"
"r_1","2010","num","BG31","1","1","30 - 34","18275"
"r_1","2010","num","BG31","1","2","30 - 34","17561"
"r_1","2010","num","BG31","2","0","30 - 34","16044"
"r_1","2010","num","BG31","2","1","30 - 34","8530"
"r_1","2010","num","BG31","2","2","30 - 34","7514"
"r_1","2010","num","BG31","0","0","35 - 39","60479"
"r_1","2010","num","BG31","0","1","35 - 39","30730"
"r_1","2010","num","BG31","0","2","35 - 39","29749"
"r_1","2010","num","BG31","1","0","35 - 39","42856"
