RevisionColumn,HBS_Meassure,HBS_PD,periods,Residence,ValueColumn
"r_1","3","1","2010","0","100"
"r_1","3","1","2010","1","100"
"r_1","3","1","2010","2","100"
"r_1","3","1","2011","0","100"
"r_1","3","1","2011","1","100"
"r_1","3","1","2011","2","100"
"r_1","3","1","2012","0","100"
"r_1","3","1","2012","1","100"
"r_1","3","1","2012","2","100"
"r_1","3","1","2013","0","100"
"r_1","3","1","2013","1","100"
"r_1","3","1","2013","2","100"
"r_1","3","1","2014","0","100"
"r_1","3","1","2014","1","100"
"r_1","3","1","2014","2","100"
"r_1","3","11","2008","0","94.5"
"r_1","3","11","2008","1","95.9"
"r_1","3","11","2008","2","90.1"
"r_1","3","11","2009","0","96.6"
"r_1","3","11","2009","1","97.3"
"r_1","3","11","2009","2","94.4"
"r_1","3","11","2010","0","95.8"
"r_1","3","11","2010","1","96.3"
"r_1","3","11","2010","2","93.8"
"r_1","3","11","2011","0","96.3"
"r_1","3","11","2011","1","96.6"
"r_1","3","11","2011","2","95.1"
"r_1","3","11","2012","0","95.8"
"r_1","3","11","2012","1","96.4"
"r_1","3","11","2012","2","93.4"
"r_1","3","11","2013","0","94.7"
"r_1","3","11","2013","1","94.7"
"r_1","3","11","2013","2","94.9"
"r_1","3","11","2014","0","96.9"
"r_1","3","11","2014","1","97.2"
"r_1","3","11","2014","2","95.1"
"r_1","3","111","2008","0","53.9"
"r_1","3","111","2008","1","58"
"r_1","3","111","2008","2","40.8"
"r_1","3","111","2009","0","54.1"
"r_1","3","111","2009","1","57.8"
"r_1","3","111","2009","2","42.1"
"r_1","3","111","2010","0","52"
"r_1","3","111","2010","1","55.1"
"r_1","3","111","2010","2","41.6"
"r_1","3","111","2011","0","52.8"
"r_1","3","111","2011","1","55.5"
"r_1","3","111","2011","2","42.6"
"r_1","3","111","2012","0","53.8"
"r_1","3","111","2012","1","56.6"
"r_1","3","111","2012","2","42.1"
"r_1","3","111","2013","0","54.1"
"r_1","3","111","2013","1","56.5"
"r_1","3","111","2013","2","42.6"
