RevisionColumn,GenderID,SILC_Activity,SILC_Age,Units,periods,ValueColumn
"r_2","1","4","3","perc_pop_fig","2014","43.1"
"r_2","2","4","3","perc_pop_fig","2008","67.6"
"r_2","2","4","3","perc_pop_fig","2009","69.4"
"r_2","2","4","3","perc_pop_fig","2010","67.8"
"r_2","2","4","3","perc_pop_fig","2011","64.8"
"r_2","2","4","3","perc_pop_fig","2012","63.4"
"r_2","2","4","3","perc_pop_fig","2013","62.8"
"r_2","2","4","3","perc_pop_fig","2014","52.2"
"r_2","0","5","2","perc_pop_fig","2008","44.5"
"r_2","0","5","2","perc_pop_fig","2009","50.9"
"r_2","0","5","2","perc_pop_fig","2010","50.4"
"r_2","0","5","2","perc_pop_fig","2011","53.9"
"r_2","0","5","2","perc_pop_fig","2012","55.9"
"r_2","0","5","2","perc_pop_fig","2013","52.9"
"r_2","0","5","2","perc_pop_fig","2014","48"
"r_2","1","5","2","perc_pop_fig","2008","45.7"
"r_2","1","5","2","perc_pop_fig","2009","49.8"
"r_2","1","5","2","perc_pop_fig","2010","48.4"
"r_2","1","5","2","perc_pop_fig","2011","52.8"
"r_2","1","5","2","perc_pop_fig","2012","55.4"
"r_2","1","5","2","perc_pop_fig","2013","52.6"
"r_2","1","5","2","perc_pop_fig","2014","45.4"
"r_2","2","5","2","perc_pop_fig","2008","43.9"
"r_2","2","5","2","perc_pop_fig","2009","51.3"
"r_2","2","5","2","perc_pop_fig","2010","51.4"
"r_2","2","5","2","perc_pop_fig","2011","54.5"
"r_2","2","5","2","perc_pop_fig","2012","56.2"
"r_2","2","5","2","perc_pop_fig","2013","53.1"
"r_2","2","5","2","perc_pop_fig","2014","49.6"
"r_2","0","5","9","perc_pop_fig","2008","44.9"
"r_2","0","5","9","perc_pop_fig","2009","51"
"r_2","0","5","9","perc_pop_fig","2010","50.5"
"r_2","0","5","9","perc_pop_fig","2011","54.1"
"r_2","0","5","9","perc_pop_fig","2012","56.3"
"r_2","0","5","9","perc_pop_fig","2013","53.1"
"r_2","0","5","9","perc_pop_fig","2014","48.1"
"r_2","1","5","9","perc_pop_fig","2008","46.1"
"r_2","1","5","9","perc_pop_fig","2009","50"
