RevisionColumn,NUTS,SILC_Median,SILC_HHType,Units,periods,ValueColumn
"r_6","BG31","1","2","Euro","2012","1964"
"r_6","BG31","1","1","Euro","2013","1039"
"r_6","BG31","1","2","Euro","2013","2183"
"r_6","BG31","1","1","Euro","2014","1134"
"r_6","BG31","1","2","Euro","2014","2382"
"r_6","BG31","1","1","Euro","2015","1130"
"r_6","BG31","1","2","Euro","2015","2373"
"r_6","BG31","2","1","Euro","2008","891"
"r_6","BG31","2","2","Euro","2008","1872"
"r_6","BG31","2","1","Euro","2009","1179"
"r_6","BG31","2","2","Euro","2009","2476"
"r_6","BG31","2","1","Euro","2010","1262"
"r_6","BG31","2","2","Euro","2010","2650"
"r_6","BG31","2","1","Euro","2011","1163"
"r_6","BG31","2","2","Euro","2011","2443"
"r_6","BG31","2","1","Euro","2012","1169"
"r_6","BG31","2","2","Euro","2012","2455"
"r_6","BG31","2","1","Euro","2013","1299"
"r_6","BG31","2","2","Euro","2013","2729"
"r_6","BG31","2","1","Euro","2014","1418"
"r_6","BG31","2","2","Euro","2014","2978"
"r_6","BG31","2","1","Euro","2015","1412"
"r_6","BG31","2","2","Euro","2015","2966"
"r_6","BG31","3","1","Euro","2008","1070"
"r_6","BG31","3","2","Euro","2008","2246"
"r_6","BG31","3","1","Euro","2009","1415"
"r_6","BG31","3","2","Euro","2009","2971"
"r_6","BG31","3","1","Euro","2010","1514"
"r_6","BG31","3","2","Euro","2010","3179"
"r_6","BG31","3","1","Euro","2011","1396"
"r_6","BG31","3","2","Euro","2011","2932"
"r_6","BG31","3","1","Euro","2012","1403"
"r_6","BG31","3","2","Euro","2012","2946"
"r_6","BG31","3","1","Euro","2013","1559"
"r_6","BG31","3","2","Euro","2013","3274"
"r_6","BG31","3","1","Euro","2014","1702"
"r_6","BG31","3","2","Euro","2014","3574"
"r_6","BG31","3","1","Euro","2015","1695"
"r_6","BG31","3","2","Euro","2015","3559"
"r_6","BG31","4","1","Euro","2008","1248"
"r_6","BG31","4","2","Euro","2008","2620"
"r_6","BG31","4","1","Euro","2009","1651"
"r_6","BG31","4","2","Euro","2009","3466"
"r_6","BG31","4","1","Euro","2010","1766"
"r_6","BG31","4","2","Euro","2010","3709"
