RevisionColumn,Age10_LFS,Units,periods,GenderID,ValueColumn
"r_2","55 - 64","1000cp","2005Q4","1","232.6"
"r_2","55 - 64","1000cp","2005Q4","2","140.1"
"r_2","65+","1000cp","2005Q4","0","33"
"r_2","65+","1000cp","2005Q4","1","20.6"
"r_2","65+","1000cp","2005Q4","2","12.4"
"r_2","0","1000cp","2006Q1","0","3255.7"
"r_2","0","1000cp","2006Q1","1","1727.9"
"r_2","0","1000cp","2006Q1","2","1527.8"
"r_2","15 - 64","1000cp","2006Q1","0","3222.7"
"r_2","15 - 64","1000cp","2006Q1","1","1703.9"
"r_2","15 - 64","1000cp","2006Q1","2","1518.8"
"r_2","20 - 64","1000cp","2006Q1","0","3182"
"r_2","20 - 64","1000cp","2006Q1","1","1682.8"
"r_2","20 - 64","1000cp","2006Q1","2","1499.1"
"r_2","15 - 29","1000cp","2006Q1","0","627.9"
"r_2","15 - 29","1000cp","2006Q1","1","362"
"r_2","15 - 29","1000cp","2006Q1","2","265.9"
"r_2","15 - 24","1000cp","2006Q1","0","273.2"
"r_2","15 - 24","1000cp","2006Q1","1","156"
"r_2","15 - 24","1000cp","2006Q1","2","117.2"
"r_2","25 - 34","1000cp","2006Q1","0","776.6"
"r_2","25 - 34","1000cp","2006Q1","1","424.6"
"r_2","25 - 34","1000cp","2006Q1","2","352"
"r_2","35 - 44","1000cp","2006Q1","0","921.3"
"r_2","35 - 44","1000cp","2006Q1","1","468.9"
"r_2","35 - 44","1000cp","2006Q1","2","452.4"
"r_2","45 - 54","1000cp","2006Q1","0","870.3"
"r_2","45 - 54","1000cp","2006Q1","1","431.6"
"r_2","45 - 54","1000cp","2006Q1","2","438.7"
"r_2","55 - 64","1000cp","2006Q1","0","381.2"
"r_2","55 - 64","1000cp","2006Q1","1","222.8"
"r_2","55 - 64","1000cp","2006Q1","2","158.4"
"r_2","65+","1000cp","2006Q1","0","33"
"r_2","65+","1000cp","2006Q1","1","24"
"r_2","65+","1000cp","2006Q1","2","9"
"r_2","0","1000cp","2006Q2","0","3448"
"r_2","0","1000cp","2006Q2","1","1826.3"
"r_2","0","1000cp","2006Q2","2","1621.7"
