RevisionColumn,EKATTE,Units,periods,GenderID,ValueColumn
"r_1","BLG42","num","2001","1","91"
"r_1","BLG42","num","2001","2","65"
"r_1","BLG42","num","2002","0","121"
"r_1","BLG42","num","2002","1","72"
"r_1","BLG42","num","2002","2","49"
"r_1","BLG42","num","2003","0","142"
"r_1","BLG42","num","2003","1","82"
"r_1","BLG42","num","2003","2","60"
"r_1","BLG42","num","2004","0","122"
"r_1","BLG42","num","2004","1","69"
"r_1","BLG42","num","2004","2","53"
"r_1","BLG42","num","2005","0","148"
"r_1","BLG42","num","2005","1","92"
"r_1","BLG42","num","2005","2","56"
"r_1","BLG42","num","2006","0","156"
"r_1","BLG42","num","2006","1","89"
"r_1","BLG42","num","2006","2","67"
"r_1","BLG42","num","2007","0","158"
"r_1","BLG42","num","2007","1","90"
"r_1","BLG42","num","2007","2","68"
"r_1","BLG42","num","2008","0","157"
"r_1","BLG42","num","2008","1","81"
"r_1","BLG42","num","2008","2","76"
"r_1","BLG42","num","2009","0","154"
"r_1","BLG42","num","2009","1","78"
"r_1","BLG42","num","2009","2","76"
"r_1","BLG42","num","2010","0","143"
"r_1","BLG42","num","2010","1","72"
"r_1","BLG42","num","2010","2","71"
"r_1","BLG42","num","2011","0","167"
"r_1","BLG42","num","2011","1","78"
"r_1","BLG42","num","2011","2","89"
"r_1","BLG42","num","2012","0","145"
"r_1","BLG42","num","2012","1","76"
"r_1","BLG42","num","2012","2","69"
"r_1","BLG42","num","2013","0","169"
"r_1","BLG42","num","2013","1","74"
"r_1","BLG42","num","2013","2","95"
"r_1","BLG42","num","2014","0","157"
"r_1","BLG42","num","2014","1","77"
"r_1","BLG42","num","2014","2","80"
"r_1","BLG44","num","2000","0","187"
"r_1","BLG44","num","2000","1","104"
"r_1","BLG44","num","2000","2","83"
"r_1","BLG44","num","2001","0","172"
"r_1","BLG44","num","2001","1","93"
"r_1","BLG44","num","2001","2","79"
"r_1","BLG44","num","2002","0","248"
"r_1","BLG44","num","2002","1","137"
"r_1","BLG44","num","2002","2","111"
"r_1","BLG44","num","2003","0","191"
"r_1","BLG44","num","2003","1","113"
"r_1","BLG44","num","2003","2","78"
"r_1","BLG44","num","2004","0","205"
"r_1","BLG44","num","2004","1","104"
"r_1","BLG44","num","2004","2","101"
"r_1","BLG44","num","2005","0","225"
"r_1","BLG44","num","2005","1","137"
"r_1","BLG44","num","2005","2","88"
"r_1","BLG44","num","2006","0","179"
"r_1","BLG44","num","2006","1","109"
"r_1","BLG44","num","2006","2","70"
"r_1","BLG44","num","2007","0","207"
"r_1","BLG44","num","2007","1","118"
"r_1","BLG44","num","2007","2","89"
"r_1","BLG44","num","2008","0","202"
"r_1","BLG44","num","2008","1","115"
"r_1","BLG44","num","2008","2","87"
"r_1","BLG44","num","2009","0","170"
"r_1","BLG44","num","2009","1","93"
"r_1","BLG44","num","2009","2","77"
"r_1","BLG44","num","2010","0","200"
"r_1","BLG44","num","2010","1","117"
"r_1","BLG44","num","2010","2","83"
"r_1","BLG44","num","2011","0","182"
"r_1","BLG44","num","2011","1","110"
"r_1","BLG44","num","2011","2","72"
"r_1","BLG44","num","2012","0","194"
"r_1","BLG44","num","2012","1","106"
"r_1","BLG44","num","2012","2","88"
"r_1","BLG44","num","2013","0","217"
"r_1","BLG44","num","2013","1","117"
"r_1","BLG44","num","2013","2","100"
"r_1","BLG44","num","2014","0","201"
"r_1","BLG44","num","2014","1","108"
"r_1","BLG44","num","2014","2","93"
"r_1","BLG49","num","2000","0","143"
"r_1","BLG49","num","2000","1","65"
"r_1","BLG49","num","2000","2","78"
"r_1","BLG49","num","2001","0","126"
"r_1","BLG49","num","2001","1","59"
"r_1","BLG49","num","2001","2","67"
"r_1","BLG49","num","2002","0","129"
"r_1","BLG49","num","2002","1","64"
"r_1","BLG49","num","2002","2","65"
"r_1","BLG49","num","2003","0","122"
"r_1","BLG49","num","2003","1","69"
"r_1","BLG49","num","2003","2","53"
"r_1","BLG49","num","2004","0","126"
"r_1","BLG49","num","2004","1","62"
"r_1","BLG49","num","2004","2","64"
"r_1","BLG49","num","2005","0","136"
"r_1","BLG49","num","2005","1","71"
"r_1","BLG49","num","2005","2","65"
"r_1","BLG49","num","2006","0","128"
"r_1","BLG49","num","2006","1","62"
"r_1","BLG49","num","2006","2","66"
"r_1","BLG49","num","2007","0","134"
"r_1","BLG49","num","2007","1","72"
"r_1","BLG49","num","2007","2","62"
"r_1","BLG49","num","2008","0","126"
"r_1","BLG49","num","2008","1","82"
"r_1","BLG49","num","2008","2","44"
"r_1","BLG49","num","2009","0","132"
"r_1","BLG49","num","2009","1","70"
"r_1","BLG49","num","2009","2","62"
"r_1","BLG49","num","2010","0","138"
"r_1","BLG49","num","2010","1","78"
