RevisionColumn,Labour_SES_nkpd1996,Units,periods,GenderID,ValueColumn
"r_1","9","1000cp","2004Q3","2","175.8"
"r_1","9","1000cp","2004Q4","0","380.3"
"r_1","9","1000cp","2004Q4","1","224.9"
"r_1","9","1000cp","2004Q4","2","155.3"
"r_1","9","1000cp","2005Q1","0","324.3"
"r_1","9","1000cp","2005Q1","1","196.5"
"r_1","9","1000cp","2005Q1","2","127.8"
"r_1","9","1000cp","2005Q2","0","361.3"
"r_1","9","1000cp","2005Q2","1","210.7"
"r_1","9","1000cp","2005Q2","2","150.7"
"r_1","9","1000cp","2005Q3","0","388.8"
"r_1","9","1000cp","2005Q3","1","230.7"
"r_1","9","1000cp","2005Q3","2","158"
"r_1","9","1000cp","2005Q4","0","370.4"
"r_1","9","1000cp","2005Q4","1","221.4"
"r_1","9","1000cp","2005Q4","2","149"
