RevisionColumn,periods,NUTS,Units,Ages_COD,GenderID,COD_ICD10ch,ValueColumn
"r_1","2015","BG","num","22","1","4","-"
"r_1","2015","BG","num","22","2","4","-"
"r_1","2015","BG","num","0","0","5","95"
"r_1","2015","BG","num","0","1","5","52"
"r_1","2015","BG","num","0","2","5","43"
"r_1","2015","BG","num","1","0","5","-"
"r_1","2015","BG","num","1","1","5","-"
"r_1","2015","BG","num","1","2","5","-"
"r_1","2015","BG","num","2","0","5","-"
"r_1","2015","BG","num","2","1","5","-"
"r_1","2015","BG","num","2","2","5","-"
"r_1","2015","BG","num","3","0","5","-"
"r_1","2015","BG","num","3","1","5","-"
"r_1","2015","BG","num","3","2","5","-"
"r_1","2015","BG","num","4","0","5","-"
"r_1","2015","BG","num","4","1","5","-"
"r_1","2015","BG","num","4","2","5","-"
"r_1","2015","BG","num","5","0","5","-"
"r_1","2015","BG","num","5","1","5","-"
"r_1","2015","BG","num","5","2","5","-"
"r_1","2015","BG","num","6","0","5","-"
"r_1","2015","BG","num","6","1","5","-"
"r_1","2015","BG","num","6","2","5","-"
"r_1","2015","BG","num","7","0","5","1"
"r_1","2015","BG","num","7","1","5","-"
"r_1","2015","BG","num","7","2","5","1"
"r_1","2015","BG","num","8","0","5","3"
"r_1","2015","BG","num","8","1","5","3"
"r_1","2015","BG","num","8","2","5","-"
"r_1","2015","BG","num","9","0","5","3"
"r_1","2015","BG","num","9","1","5","2"
"r_1","2015","BG","num","9","2","5","1"
"r_1","2015","BG","num","10","0","5","2"
"r_1","2015","BG","num","10","1","5","2"
"r_1","2015","BG","num","10","2","5","-"
"r_1","2015","BG","num","11","0","5","11"
"r_1","2015","BG","num","11","1","5","9"
"r_1","2015","BG","num","11","2","5","2"
"r_1","2015","BG","num","12","0","5","11"
"r_1","2015","BG","num","12","1","5","7"
"r_1","2015","BG","num","12","2","5","4"
"r_1","2015","BG","num","13","0","5","9"
"r_1","2015","BG","num","13","1","5","5"
"r_1","2015","BG","num","13","2","5","4"
"r_1","2015","BG","num","14","0","5","8"
"r_1","2015","BG","num","14","1","5","8"
"r_1","2015","BG","num","14","2","5","-"
"r_1","2015","BG","num","15","0","5","8"
"r_1","2015","BG","num","15","1","5","5"
"r_1","2015","BG","num","15","2","5","3"
"r_1","2015","BG","num","16","0","5","7"
"r_1","2015","BG","num","16","1","5","3"
"r_1","2015","BG","num","16","2","5","4"
"r_1","2015","BG","num","17","0","5","8"
"r_1","2015","BG","num","17","1","5","1"
"r_1","2015","BG","num","17","2","5","7"
"r_1","2015","BG","num","18","0","5","16"
"r_1","2015","BG","num","18","1","5","5"
"r_1","2015","BG","num","18","2","5","11"
"r_1","2015","BG","num","19","0","5","6"
"r_1","2015","BG","num","19","1","5","2"
"r_1","2015","BG","num","19","2","5","4"
"r_1","2015","BG","num","20","0","5","2"
"r_1","2015","BG","num","20","1","5","-"
"r_1","2015","BG","num","20","2","5","2"
"r_1","2015","BG","num","21","0","5","-"
"r_1","2015","BG","num","21","1","5","-"
"r_1","2015","BG","num","21","2","5","-"
"r_1","2015","BG","num","22","0","5","-"
"r_1","2015","BG","num","22","1","5","-"
"r_1","2015","BG","num","22","2","5","-"
"r_1","2015","BG","num","0","0","6","1130"
"r_1","2015","BG","num","0","1","6","613"
"r_1","2015","BG","num","0","2","6","517"
"r_1","2015","BG","num","1","0","6","7"
"r_1","2015","BG","num","1","1","6","4"
"r_1","2015","BG","num","1","2","6","3"
"r_1","2015","BG","num","2","0","6","7"
"r_1","2015","BG","num","2","1","6","5"
"r_1","2015","BG","num","2","2","6","2"
"r_1","2015","BG","num","3","0","6","9"
"r_1","2015","BG","num","3","1","6","7"
"r_1","2015","BG","num","3","2","6","2"
"r_1","2015","BG","num","4","0","6","6"
"r_1","2015","BG","num","4","1","6","3"
"r_1","2015","BG","num","4","2","6","3"
"r_1","2015","BG","num","5","0","6","9"
"r_1","2015","BG","num","5","1","6","7"
"r_1","2015","BG","num","5","2","6","2"
"r_1","2015","BG","num","6","0","6","13"
"r_1","2015","BG","num","6","1","6","9"
"r_1","2015","BG","num","6","2","6","4"
"r_1","2015","BG","num","7","0","6","16"
"r_1","2015","BG","num","7","1","6","9"
"r_1","2015","BG","num","7","2","6","7"
"r_1","2015","BG","num","8","0","6","8"
"r_1","2015","BG","num","8","1","6","6"
