RevisionColumn,EKATTE,Units,periods,Gender_Child,ValueColumn
"r_1","BLG40","num","2004","1","195"
"r_1","BLG40","num","2004","2","185"
"r_1","BLG40","num","2005","0","366"
"r_1","BLG40","num","2005","1","176"
"r_1","BLG40","num","2005","2","190"
"r_1","BLG40","num","2006","0","388"
"r_1","BLG40","num","2006","1","208"
"r_1","BLG40","num","2006","2","180"
"r_1","BLG40","num","2007","0","369"
"r_1","BLG40","num","2007","1","209"
"r_1","BLG40","num","2007","2","160"
"r_1","BLG40","num","2008","0","412"
"r_1","BLG40","num","2008","1","206"
"r_1","BLG40","num","2008","2","206"
"r_1","BLG40","num","2009","0","459"
"r_1","BLG40","num","2009","1","217"
"r_1","BLG40","num","2009","2","242"
"r_1","BLG40","num","2010","0","426"
"r_1","BLG40","num","2010","1","227"
"r_1","BLG40","num","2010","2","199"
"r_1","BLG40","num","2011","0","387"
"r_1","BLG40","num","2011","1","183"
"r_1","BLG40","num","2011","2","204"
"r_1","BLG40","num","2012","0","386"
"r_1","BLG40","num","2012","1","194"
"r_1","BLG40","num","2012","2","192"
"r_1","BLG40","num","2013","0","341"
"r_1","BLG40","num","2013","1","176"
"r_1","BLG40","num","2013","2","165"
"r_1","BLG40","num","2014","0","363"
"r_1","BLG40","num","2014","1","178"
"r_1","BLG40","num","2014","2","185"
"r_1","BLG42","num","2000","0","204"
"r_1","BLG42","num","2000","1","102"
"r_1","BLG42","num","2000","2","102"
"r_1","BLG42","num","2001","0","146"
"r_1","BLG42","num","2001","1","71"
"r_1","BLG42","num","2001","2","75"
"r_1","BLG42","num","2002","0","186"
"r_1","BLG42","num","2002","1","108"
"r_1","BLG42","num","2002","2","78"
"r_1","BLG42","num","2003","0","185"
"r_1","BLG42","num","2003","1","100"
"r_1","BLG42","num","2003","2","85"
"r_1","BLG42","num","2004","0","188"
"r_1","BLG42","num","2004","1","104"
"r_1","BLG42","num","2004","2","84"
"r_1","BLG42","num","2005","0","181"
"r_1","BLG42","num","2005","1","96"
"r_1","BLG42","num","2005","2","85"
"r_1","BLG42","num","2006","0","178"
"r_1","BLG42","num","2006","1","91"
