RevisionColumn,SILC_HHType,SILC_Median,Units,periods,ValueColumn
"r_10","13","6","BGN_fig","2021","11407"
"r_10","14","5","euro","2021","7134"
"r_10","14","5","BGN_fig","2021","13952"
"r_10","14","6","euro","2021","5310"
"r_10","14","6","BGN_fig","2021","10386"
"r_10","15","5","euro","2021","4096"
"r_10","15","5","BGN_fig","2021","8011"
"r_10","15","6","euro","2021","3124"
"r_10","15","6","BGN_fig","2021","6110"
"r_10","18","5","euro","2021","7468"
"r_10","18","5","BGN_fig","2021","14606"
"r_10","18","6","euro","2021","5765"
"r_10","18","6","BGN_fig","2021","11276"
"r_10","17","5","euro","2021","6581"
"r_10","17","5","BGN_fig","2021","12871"
