RevisionColumn,periods,NUTS,Indicators,Units,ValueColumn
"r_3","2009","BG41","3.1.1.6.1","1000EUR","13872872.9"
"r_3","2010","BG41","3.1.1.6.1","1000EUR","14295496.3"
"r_3","2011","BG41","3.1.1.6.1","1000EUR","13423894"
"r_3","2012","BG41","3.1.1.6.1","1000EUR","13611094.7"
"r_3","2013","BG41","3.1.1.6.1","1000EUR","13959046.8"
"r_3","2014","BG41","3.1.1.6.1","1000EUR","13561493.8"
"r_3","2007","BG413","3.1.1.6.1","1000EUR","134446.1"
"r_3","2008","BG413","3.1.1.6.1","1000EUR","215233.4"
"r_3","2009","BG413","3.1.1.6.1","1000EUR","252671.9"
"r_3","2010","BG413","3.1.1.6.1","1000EUR","251985.2"
"r_3","2011","BG413","3.1.1.6.1","1000EUR","257517.3"
"r_3","2012","BG413","3.1.1.6.1","1000EUR","306899"
"r_3","2013","BG413","3.1.1.6.1","1000EUR","353627.1"
"r_3","2014","BG413","3.1.1.6.1","1000EUR","384666.4"
"r_3","2007","BG415","3.1.1.6.1","1000EUR","15671.1"
"r_3","2008","BG415","3.1.1.6.1","1000EUR","19990.3"
"r_3","2009","BG415","3.1.1.6.1","1000EUR","15959.6"
"r_3","2010","BG415","3.1.1.6.1","1000EUR","16046.4"
"r_3","2011","BG415","3.1.1.6.1","1000EUR","25891.6"
"r_3","2012","BG415","3.1.1.6.1","1000EUR","33060.3"
"r_3","2013","BG415","3.1.1.6.1","1000EUR","38794.3"
"r_3","2014","BG415","3.1.1.6.1","1000EUR","43524.1"
"r_3","2007","BG414","3.1.1.6.1","1000EUR","232106.2"
"r_3","2008","BG414","3.1.1.6.1","1000EUR","283712.1"
"r_3","2009","BG414","3.1.1.6.1","1000EUR","240148.3"
"r_3","2010","BG414","3.1.1.6.1","1000EUR","240797.6"
"r_3","2011","BG414","3.1.1.6.1","1000EUR","258330.8"
"r_3","2012","BG414","3.1.1.6.1","1000EUR","244496.4"
"r_3","2013","BG414","3.1.1.6.1","1000EUR","229717.1"
"r_3","2014","BG414","3.1.1.6.1","1000EUR","218998.9"
"r_3","2007","BG412","3.1.1.6.1","1000EUR","799997.4"
"r_3","2008","BG412","3.1.1.6.1","1000EUR","662668.6"
"r_3","2009","BG412","3.1.1.6.1","1000EUR","815676.4"
"r_3","2010","BG412","3.1.1.6.1","1000EUR","1319848.6"
"r_3","2011","BG412","3.1.1.6.1","1000EUR","1295597.4"
"r_3","2012","BG412","3.1.1.6.1","1000EUR","1323132"
"r_3","2013","BG412","3.1.1.6.1","1000EUR","1262892.4"
"r_3","2014","BG412","3.1.1.6.1","1000EUR","1239077.7"
"r_3","2007","BG411","3.1.1.6.1","1000EUR","9222748.4"
"r_3","2008","BG411","3.1.1.6.1","1000EUR","11671908.7"
"r_3","2009","BG411","3.1.1.6.1","1000EUR","12548416.7"
"r_3","2010","BG411","3.1.1.6.1","1000EUR","12466818.5"
"r_3","2011","BG411","3.1.1.6.1","1000EUR","11586556.9"
"r_3","2012","BG411","3.1.1.6.1","1000EUR","11703507"
"r_3","2013","BG411","3.1.1.6.1","1000EUR","12074015.9"
"r_3","2014","BG411","3.1.1.6.1","1000EUR","11675226.7"
"r_3","2007","BG42","3.1.1.6.1","1000EUR","966810.9"
"r_3","2008","BG42","3.1.1.6.1","1000EUR","1340758.1"
"r_3","2009","BG42","3.1.1.6.1","1000EUR","1372515.3"
"r_3","2010","BG42","3.1.1.6.1","1000EUR","1659060.5"
"r_3","2011","BG42","3.1.1.6.1","1000EUR","1908766.1"
"r_3","2012","BG42","3.1.1.6.1","1000EUR","2033178.6"
"r_3","2013","BG42","3.1.1.6.1","1000EUR","2372345.6"
"r_3","2014","BG42","3.1.1.6.1","1000EUR","2298844.5"
"r_3","2007","BG425","3.1.1.6.1","1000EUR","64598.7"
"r_3","2008","BG425","3.1.1.6.1","1000EUR","62112.1"
"r_3","2009","BG425","3.1.1.6.1","1000EUR","60735.9"
"r_3","2010","BG425","3.1.1.6.1","1000EUR","67859.4"
