RevisionColumn,Units,periods,Indicators,ValueColumn
"r_1","1000BGN","2015","3.1.2.4.1.0.2.1","6008040"
"r_1","1000BGN","2016","3.1.2.4.1.0.2.1","5625334"
"r_1","1000BGN","2017","3.1.2.4.1.0.2.1","5784464"
"r_1","1000BGN","2018","3.1.2.4.1.0.2.1","6343913"
"r_1","1000BGN","2019","3.1.2.4.1.0.2.1","5742115"
"r_1","1000BGN","2020","3.1.2.4.1.0.2.1",".."
"r_1","1000BGN","2005","3.1.2.4.1.0.2.2","0"
"r_1","1000BGN","2006","3.1.2.4.1.0.2.2","0"
"r_1","1000BGN","2007","3.1.2.4.1.0.2.2","9"
"r_1","1000BGN","2008","3.1.2.4.1.0.2.2","554319"
"r_1","1000BGN","2009","3.1.2.4.1.0.2.2","0"
"r_1","1000BGN","2010","3.1.2.4.1.0.2.2","0"
"r_1","1000BGN","2011","3.1.2.4.1.0.2.2","29313"
"r_1","1000BGN","2012","3.1.2.4.1.0.2.2","0"
"r_1","1000BGN","2013","3.1.2.4.1.0.2.2","0"
"r_1","1000BGN","2014","3.1.2.4.1.0.2.2",".."
"r_1","1000BGN","2015","3.1.2.4.1.0.2.2","0"
"r_1","1000BGN","2016","3.1.2.4.1.0.2.2","0"
"r_1","1000BGN","2017","3.1.2.4.1.0.2.2","0"
"r_1","1000BGN","2018","3.1.2.4.1.0.2.2","466718"
"r_1","1000BGN","2019","3.1.2.4.1.0.2.2","0"
"r_1","1000BGN","2020","3.1.2.4.1.0.2.2",".."
"r_1","1000BGN","2005","3.1.2.4.1.0.2","302812"
"r_1","1000BGN","2006","3.1.2.4.1.0.2","496069"
"r_1","1000BGN","2007","3.1.2.4.1.0.2","1363184"
"r_1","1000BGN","2008","3.1.2.4.1.0.2","2427277"
"r_1","1000BGN","2009","3.1.2.4.1.0.2","1615095"
"r_1","1000BGN","2010","3.1.2.4.1.0.2","2079228"
"r_1","1000BGN","2011","3.1.2.4.1.0.2","2540443"
"r_1","1000BGN","2012","3.1.2.4.1.0.2","2652581"
"r_1","1000BGN","2013","3.1.2.4.1.0.2","3065459"
"r_1","1000BGN","2014","3.1.2.4.1.0.2","4321412"
"r_1","1000BGN","2015","3.1.2.4.1.0.2","6008040"
"r_1","1000BGN","2016","3.1.2.4.1.0.2","5625334"
"r_1","1000BGN","2017","3.1.2.4.1.0.2","5784464"
"r_1","1000BGN","2018","3.1.2.4.1.0.2","6810631"
"r_1","1000BGN","2019","3.1.2.4.1.0.2","5742115"
"r_1","1000BGN","2020","3.1.2.4.1.0.2","10036881"
"r_2","1000BGN","2021","3.1.2.4.1.0.1.1.1","9077626"
"r_2","1000BGN","2021","3.1.2.4.1.0.1.1.1.1","8799"
"r_2","1000BGN","2021","3.1.2.4.1.0.1.1.1.2","7836692"
"r_2","1000BGN","2021","3.1.2.4.1.0.1.1.1.3","1216039"
"r_2","1000BGN","2021","3.1.2.4.1.0.1.1.1.4","13470"
"r_2","1000BGN","2021","3.1.2.4.1.0.1.1.1.5","2626"
"r_2","1000BGN","2021","3.1.2.4.1.0.1.1","9077626"
"r_2","1000BGN","2021","3.1.2.4.1.0.1.2","943203"
"r_2","1000BGN","2021","3.1.2.4.1.0.1.2.1","911608"
"r_2","1000BGN","2021","3.1.2.4.1.0.1.2.2","31595"
"r_2","1000BGN","2021","3.1.2.4.1.0.1","10020829"
"r_2","1000BGN","2021","3.1.2.4.1.0.2.1.1","10020829"
"r_2","1000BGN","2021","3.1.2.4.1.0.2.1.1.1","83417"
"r_2","1000BGN","2021","3.1.2.4.1.0.2.1.1.2","198588"
"r_2","1000BGN","2021","3.1.2.4.1.0.2.1.1.3","8301292"
"r_2","1000BGN","2021","3.1.2.4.1.0.2.1.1.4","1428172"
"r_2","1000BGN","2021","3.1.2.4.1.0.2.1.1.5","7146"
"r_2","1000BGN","2021","3.1.2.4.1.0.2.1.1.6","2214"
"r_2","1000BGN","2021","3.1.2.4.1.0.2.1.3","0"
"r_2","1000BGN","2021","3.1.2.4.1.0.2.1","10020829"
"r_2","1000BGN","2021","3.1.2.4.1.0.2.2","0"
"r_2","1000BGN","2021","3.1.2.4.1.0.2","10020829"
"r_3","1000BGN","2022","3.1.2.4.1.0.1.1.1","18525985"
"r_3","1000BGN","2022","3.1.2.4.1.0.1.1.1.1","5148"
"r_3","1000BGN","2022","3.1.2.4.1.0.1.1.1.2","15415047"
"r_3","1000BGN","2022","3.1.2.4.1.0.1.1.1.3","3092338"
"r_3","1000BGN","2022","3.1.2.4.1.0.1.1.1.4","10510"
"r_3","1000BGN","2022","3.1.2.4.1.0.1.1.1.5","2942"
