RevisionColumn,PlaceResidence,GenderID,periods,Units,ValueColumn
"r_2","2","0","2009Q1","perc","41.2"
"r_2","2","0","2009Q2","perc","43.2"
"r_2","2","0","2009Q3","perc","43.2"
"r_2","2","0","2009Q4","perc","41.6"
"r_2","2","0","2010Q1","perc","40"
"r_2","2","0","2010Q2","perc","42.4"
"r_2","2","0","2010Q3","perc","43"
"r_2","2","0","2010Q4","perc","42"
"r_2","2","0","2011Q1","perc","41.1"
"r_2","2","0","2011Q2","perc","42.6"
"r_2","2","0","2011Q3","perc","43.3"
"r_2","2","0","2011Q4","perc","42.6"
"r_2","2","0","2012Q1","perc","41.2"
"r_2","2","0","2012Q2","perc","42.6"
"r_2","2","0","2012Q3","perc","44.7"
"r_2","2","0","2012Q4","perc","43.4"
"r_2","2","0","2013Q1","perc","41.8"
"r_2","2","0","2013Q2","perc","43.9"
"r_2","2","0","2013Q3","perc","45.2"
"r_2","2","0","2013Q4","perc","43.4"
"r_2","2","0","2014Q1","perc","41.9"
"r_2","2","0","2014Q2","perc","43.5"
"r_2","2","0","2014Q3","perc","45.3"
"r_2","2","0","2014Q4","perc","43.1"
"r_2","2","0","2015Q1","perc","42"
"r_2","2","0","2015Q2","perc","43"
"r_2","2","0","2015Q3","perc","44.7"
"r_2","2","0","2015Q4","perc","42.9"
"r_2","2","1","2003Q1","perc","42.6"
"r_2","2","1","2003Q2","perc","47.4"
"r_2","2","1","2003Q3","perc","47.9"
"r_2","2","1","2003Q4","perc","44.9"
"r_2","2","1","2004Q1","perc","43.9"
"r_2","2","1","2004Q2","perc","47.9"
"r_2","2","1","2004Q3","perc","48.8"
"r_2","2","1","2004Q4","perc","45.4"
"r_2","2","1","2005Q1","perc","41.9"
"r_2","2","1","2005Q2","perc","46.9"
"r_2","2","1","2005Q3","perc","48.4"
"r_2","2","1","2005Q4","perc","45.3"
"r_2","2","1","2006Q1","perc","43.7"
"r_2","2","1","2006Q2","perc","47.9"
"r_2","2","1","2006Q3","perc","49.1"
"r_2","2","1","2006Q4","perc","48"
"r_2","2","1","2007Q1","perc","46.4"
"r_2","2","1","2007Q2","perc","48.4"
"r_2","2","1","2007Q3","perc","49"
"r_2","2","1","2007Q4","perc","48.5"
"r_2","2","1","2008Q1","perc","49"
"r_2","2","1","2008Q2","perc","51.6"
"r_2","2","1","2008Q3","perc","51.5"
"r_2","2","1","2008Q4","perc","49.5"
"r_2","2","1","2009Q1","perc","48.4"
"r_2","2","1","2009Q2","perc","50.7"
"r_2","2","1","2009Q3","perc","50"
"r_2","2","1","2009Q4","perc","48.4"
"r_2","2","1","2010Q1","perc","47.4"
"r_2","2","1","2010Q2","perc","50"
"r_2","2","1","2010Q3","perc","50.2"
"r_2","2","1","2010Q4","perc","48.9"
"r_2","2","1","2011Q1","perc","48.2"
"r_2","2","1","2011Q2","perc","50.1"
"r_2","2","1","2011Q3","perc","50.5"
"r_2","2","1","2011Q4","perc","49.3"
"r_2","2","1","2012Q1","perc","48.4"
"r_2","2","1","2012Q2","perc","49.5"
"r_2","2","1","2012Q3","perc","51.5"
"r_2","2","1","2012Q4","perc","51.1"
"r_2","2","1","2013Q1","perc","49.2"
"r_2","2","1","2013Q2","perc","50.7"
"r_2","2","1","2013Q3","perc","52.2"
"r_2","2","1","2013Q4","perc","51.4"
"r_2","2","1","2014Q1","perc","49.3"
"r_2","2","1","2014Q2","perc","50.8"
"r_2","2","1","2014Q3","perc","52.8"
"r_2","2","1","2014Q4","perc","51"
"r_2","2","1","2015Q1","perc","50"
"r_2","2","1","2015Q2","perc","50.6"
